organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Infected_24mths HV02-47,MOH 731 Uninfected_24mths HV02-48,MOH 731 Unknown_Outcome HV02-49,MOH 731 Net cohort_HEI_24 months HV02-50
YjzBFHmaVTv,Benga Dispensary,16786,,,2,,2
m1CfptepCVX,Bennedict XVI Hospital,10056,,,1,,1
oyMHYuegTO3,Beta Care Nursing Home,10058,,,4,,4
PaKMtCzMDnk,Biafra Lions Dispensary,12883,,,3,,3
dzY2ptkmDAC,Bishop Kioko Catholic Hospital,11955,,,4,,4
aZCS6UZRpdL,Bitare Dispensary,13502,,,2,,2
Jzb6ev63ccp,Blue House (AHF) Dispensary,12885,,,5,7,12
gYaEWAxDwbL,Bodi Health Centre,13503,,,11,,11
a6KR1c7QXeL,Bokole CDF Dispensary,11254,,,2,3,5
L7s7lF6nv95,Bokoli  Sub-County Hospital,15808,,,1,4,5
J92hsLeBV21,Bomet Health Centre,14261,,,1,,1
OtnHULC4QwB,Bomu Medical Centre (Likoni),11259,,,20,1,21
w5udNAfZvrb,Bomu Medical Centre (Mariakani),18267,,,8,1,9
BsbMOs77eO2,Bomu Medical Hospital (Changamwe),11258,,,36,4,38
vPGUu3uwSan,Bondeni Dispensary (Nakuru Central),14263,,,3,,3
kF4aaglTa6T,Bondeni Health Centre (Trans Nzoia - Saboti),14264,,,1,2,3
BxIp7V5DU9D,Bondeni Sub County Hospital,14265,,2,11,3,16
Z6fKUbscAbZ,Bondo County Referral Hospital,13507,level 4 facility in Maranda division. Is the Sub County reffaral Hospital,16,30,3,49
xHviPII2Tc3,Boro Dispensary,13513,,,6,,6
mZ5dBUXvXqh,Bosiango Health Centre,13514,,,1,,1
X43Tf1LIRXh,Brother Andre Medial Centre,12887,,,3,1,4
WYaAkILOP16,Buchangu Dispensary,15810,Dispensary,,1,,1
Y1wbtycY0V8,Budalangi Dispensary,15811,,,4,,4
gkvsBoZvbH1,Bugina Health Centre,15815,,2,,,2
OQUMus9IsA1,Bugumbe Health Centre,13517,,1,4,,5
ndBnE6yUjoy,Bukaya Health Centre,15817,,,5,1,6
lSB8vsporuH,Bukembe Dispensary,15819,,,5,,5
wcM6pww7h2a,Bukura Health Centre,15820,,,6,1,7
VIFQ1jyMX4e,Bulondo Dispensary,15821,,,2,,2
aMTxgqDmizK,Bumala A Health Centre,15823,,,21,4,25
nuEpF1eboYN,Bumala B Sub County Hospital,15824,,,8,2,10
Gci6fQrejup,Bumula Sub County Hospital,15825,,1,3,1,5
mSjyGBo4Rqu,Bumutiru Dispensary,15826,,,2,,2
OaksTvWzoaf,Bunde Health Centre,13518,Dispensary,,9,,9
wXYxrsjOc8d,Bungasi Health Centre,15827,,,3,2,5
WDJtmgLjGD8,Bungoma County Referral Hospital,15828,,,25,13,38
SWfFxTZ0VGG,Bura Subcounty Hospital,11264,,,4,,4
g73LYiD5P06,Burnt Forest Sub County Hospital,16347,,,3,,5
d23vOh36Pqw,Burumba Dispensary,21041,,,2,,2
vxKshylcIW5,Busagwa Dispensary,21037,,,2,,2
ih3vU3AXadk,Busembe Dispensary,15831,,,1,,1
dI28kasf8Jj,Bushiri Health Centre,15833,health centre,,1,2,3
XsRFIn0FhzA,Busia County Referral Hospital,15834,,,32,4,36
OVV0fHS7fux,Butere Sub County Hospital,15836,,,10,7,17
Tns72Eh3EfT,Butingo Dispensary,20043,,,1,,1
yFrzItHccVH,Butula Mission Health Centre,15838,,,6,,6
wd25QXppWr2,Bware Health Center,13519,,,2,,
Ch9QLIX4Lv4,Cana Family Life Clinic,12889,,,2,,2
T5sPlPfblxx,Cardinal Otunga Health Centre,10019,Faith based organization,,,2,2
HOvK1bxRsNF,Catholic Hospital Wamba,15769,,1,1,,2
tvYS6hl4l6l,Cdc Ganjoni Dispensary,11273,,,3,2,5
ZeHU0vtmrVW,Chaani Catholic Dispensary,23285,,,3,,3
RUBAdXhzucO,Chamuka Dispensary,18782,,,4,,4
CckiDj0RzXx,Chandaria Health Centre,12893,,,2,,2
oGBXTwGNwBb,Chasimba Health Centre,11282,,,2,,2
Va4NxnOtD4e,Chebangang Health Centre,14289,,,2,,2
OpoaPaPsSWF,Chebororwa Health Centre,14301,,,2,,2
E30aVzHdBRU,Chebunyo Dispensary,14304,,,,1,1
JTL8OVhlUqF,Chebwai Mission Dispensary,15849,,,1,,1
Ci1bld843vy,Chekalini Health Centre,15851,,,4,,4
vVYa9Lb6bZ5,Chemelil Health Centre (Muhoroni),13521,,,5,6,11
PeEVPAKDbaC,Chemelil Sugar Health Centre,13522,,,1,,2
hqPkw34FUAM,Chemosot Health Centre,14323,,,3,,3
w2kedceJwpf,Chepareria Sub County Hospital,14330,,,5,,5
ZXeCbiargkA,Chepchoina Dispensary,14332,,,3,2,5
hmwxjORtUnv,Chepkanga Health Centre,14335,,,32,1,3
vibbW67N4uG,Chepkemel Health Centre (Mosop),14339,Health Centre,,,1,
acAHfxFgxVa,Chepkigen Health Centre,14341,,,1,2,3
u2vTqS5F2Fy,Chepkorio Health Centre,14346,,,1,,1
qCpPJL5V2m1,Cheptais Sub County Hospital,15855,moh,,2,,2
ULWedqfO8cB,Cheptalal Sub County Hospital,14366,,,1,,2
wZn5GUHSpIZ,Chepterwai Sub-County Hospital,14369,,1,1,1,3
xmCIA3BSudt,Cherangany Sub County Hospital,14379,,,6,1,7
PiA1cqcwPlf,Chesoen Dispensary,14384,,,1,,1
TFTsjlwBeca,Chianda Dispensary (Rarieda),18564,Dispensry,,1,,1
cMV2EgW6Tza,Chief Milimu Dispensary,16144,,,2,1,3
qNO02IGD3yn,Chiga Sub County Hospital,13524,,,3,,3
kUsA28Yefik,Child Doctor Kenya,19504,,,4,,4
kVVmxGZKCfA,Chinato Health Centre,13526,,,2,,2
Q1cLTOTQ8i7,Christamarianne Mission Hospital,13527,,,20,,20
sD0C4mSXA4H,Chuka County Refferal Hospital,11973,,1,7,2,10
aRWvqnCMOEN,Chulaimbo County Hospital,13528,,,45,2,47
S2nFt5STJyM,Chuowe Health centre,13529,,,2,,2
PjJrujKwMvY,Chuthber Health Centre,13530,,,2,,2
fUo2NrKCikw,Chwele Friends Dispensary,15861,,,,3,1
qZCaWe683G3,Chwele Sub County Hospital,15860,,,3,9,12
ZLKeFpFXbAQ,Cmf Aitong Health Centre,14394,,,1,,1
WQBUBXxXVe5,Coast General Teaching and Referral Hospital,11289,,,14,2,16
kJ5MjZkaoSP,Coast General Teaching and Referral Hospital (Chaani Outreach Centre),11274,,,4,2,5
wi1we3OlD7A,Coast General Teaching and Referral Hospital Vikwatani Outreach Centre,25221,,,15,,15
amP1kWytNm2,Consolata Kyeni Hospital,12413,,,10,,10
Aqw6Dbpsjk6,Consolata Mission Hospital (Mathari),10100,,1,10,2,13
fMexRJbQRAw,Consolata Mission Hospital Nkubu,11976,,1,12,8,21
LtGa9hWTpLy,Coptic Hospital,12905,,,36,14,50
izA6A7pqMPN,Coptic Medical Clinic,12904,,,13,8,21
oic5beVUm72,Coptic Nursing Home,15862,,,3,10,13
XsWdXMDDBpL,Cordis Maria Dispensary,19722,,,9,,9
fMMxisqLyA8,Cottolengo Mission Hospital,11977,,,4,,4
UtipAc6rtV6,Dagoretti Sub-County Hospital Mutuini,13105,,,6,4,10
NXlTHAroEmk,Dallas Health Centre,11984,,,6,,6
VV18KDaWASs,Dandelion Medical Centre,23952,dispensary,,2,,2
FXzBJIjcAZ5,Dandora (EDARP) Clinic,12911,,2,11,7,20
zQh2n2JcWtl,Dandora I Health Centre,12913,,,16,2,19
DBROL4dIIzA,Dandora II Health Centre,12912,,,17,7,24
JAJ7YX1wFAr,David Kayanda Dispensary,11457,,,1,,1
WG7O02P8x4T,Dede Health Centre,13532,,,11,4,15
uhuTgMdpGDx,Diani Health Centre,11304,,,12,3,15
yjW8519Mkn2,Dienya Health Centre,13533,,,7,,7
WP7J5im3gDh,Difathas Health Centre,10110,Difthas market-off Kimbimbi/Nairobi/Embu highway,,1,2,3
LYR8fhhFOaQ,Diruma Dispensary,16268,,,1,,1
H2T8SxOU1zP,Disciples of Mercy Clinic,13534,,6,3,,9
p7wCM1JfI5d,Divine Mercy Aluor Health Centre,13473,,,6,4,10
iQqQPaktVMP,Dolphil Nursing & Maternity Home,13535,,,2,,2
rGgw3l0bHEI,Dreams Center Dispensary,12929,,,7,,7
x2ByD5QP18B,Dundori Health Centre,14424,,,4,,4
y66tzv9tspm,Eagle Health Care,21146,"Medical Clinic  Located at Palace Building 3RD floor OPP Co-op Bank,Kangemi",,5,,5
OkCML3CEtNi,Eastleigh Health Centre,12930,,,6,2,7
t8pVCEXnij3,Ebusiratsi Health Centre,15866,,,3,6,9
QiAHGmf0031,Ebusyubi Dispensary,15867,,,1,,1
hVTJp5M0cGz,EDARP Donholm Clinic,13220,,,28,6,34
u0gDQ38iF5S,EDARP Huruma Clinic,12973,,,5,10,15
r13EdOxFc92,EDARP Komarock Health Centre,17719,,,25,6,31
RVQtRwy75Wt,EDARP Soweto Health Centre,13191,Off Masimba Stage Towards Soweto Market,,17,8,25
Sbo33DobMUY,Egerton University,14426,,,1,,1
LKOhxyWkOuw,Egetuki GOK Dispensary,19984,NEAR EGETUKI MKT,,1,,1
PqsRn07KCKv,Ekalakala Health Centre,11995,,,6,1,7
hYlQ9bF0BNY,Ekerenyo Sub-District Hospital,13540,,,4,,4
KvcLdBE3Qar,Ekwanda Health Centre,15870,,,4,2,4
agm4CQgIwuf,Elburgon Sub County Hospital,14431,,2,9,1,12
XcYVma2H5FV,Eldama Ravine Sub County Hospital,14432,,,4,,4
nvSVIH9Vnhg,Elgon View Medical Cottage,15871,,,,2,2
iWFObHTUbzT,Eluche Dispensary,18361,,,1,2,3
PMtDVZGDXRv,Elwangale Health Centre,16714,,,1,,1
sKHkoTOfodh,Elwasambi Dispensary,15873,,,3,2,5
fVYB9g9ByWU,Elwesero Model Health Centre,15874,,,9,2,11
Lbsm3keaoKp,Emali Sub County Hospital,18260,,,8,,8
RILlb5RVEkC,Ematsuli Dispensary,15875,,,1,1,2
fqT44AXXEda,Embakasi Health Centre,12935,,,19,2,21
wvzZZaYO0Fm,Embonga Health Centre,13543,,,1,,1
ubYSAHlGbvb,Embu Level 5 Hospital,12004,,1,15,2,18
TeKLIwzizL1,Emining Health Centre,14446,,,5,,5
arDVLu1shRK,Emuhaya Sub County Referral Hospital,15876,,,12,3,15
KI0xDaiHbXY,Emurua Dikirr   Sub county Hospital,14452,,1,,,1
DkcS7mBduV7,Emusanda Health Centre,16762,,,2,3,5
bdcsVP2hS8A,Emusire Sub County Hospital,16979,,,,2,2
PnwtJbax3ac,Enabelbel Health Centre,14453,along Narok Nakuru road,,2,,2
I4AiM5QGOvq,Endarasha Rural Health Centre,10170,,,3,,3
CwoN2my0ByS,Endebess Sub- County Hospital,14455,,1,7,,8
ZQT01wKQqiS,Endiba Health Centre,13544,,,1,1,2
UzyDMLPCc1K,Engashura Health Centre,14458,,1,5,,6
fS76SN2mDYs,Engineer County Hospital,10171,,,10,,10
iOaejculBnN,Entarara Health Centre,14467,,,1,,1
TebstKvirIl,Enzaro Health Centre,15879,OFF BOYANI- KIGADAHI JUNCTION,11,,,11
kNAqc0TjwXt,Esageri Health Centre,14477,Health Center,,3,,3
YFxkxX3dyJ0,Esani Sub-County  Hospital,13548,,,4,,4
WKpi4HTOfa6,Eshiabwali Health Centre,19899,,,,1,1
rEKNga4CgFK,Eshikhuyu Dispensary,15882,,,3,,3
ozud4J6eShX,Eshikulu Dispensary,17217,In South Wanga Division,,,1,1
hVOEvLLuWx6,Eshimukoko Health Centre,16114,,,3,,3
dAnPb1AZoKy,Eshinutsa Health Centre,16115,,,1,,1
kH3yXjFQi6C,Esikulu Dispensary,20171,,,1,,1
FHYf7mQFpOT,Etago Sub-county Hospital,13550,,,3,,3
u5q6JCLA4SL,Ewaso Ngiro Health Centre,14485,,,2,1,3
xxV4wmw5vPj,Ewuaso Kedong Health Centre,14486,,,,1,1
dIQa6MENmm5,Fatima Health Centre (Lenkism),14493,,,1,,1
dGGuPEx55Jl,FHOK - Family Care Medical Centre - Nakuru,14177,,,5,,5
obZQ6vqwYzN,Fitc Dispensary,14498,,,8,1,9
BlfBnS88vK8,Flamingo Medical Centre,14551,,,1,2,3
nPUGVm6SU9s,Flax Dispensary,14499,,,2,,2
Q9N0D3AoEOJ,Forttenan Sub County Hospital,14501,,,3,,3
rvY6Idb4l9H,Fremo Medical Centre,18612,,1,,,1
NhqbIqtewwY,Future Life Community Nursing  and Maternity Home,17522,,,3,,3
OjfMUlTYbK1,Gachege Dispensary,10194,Ministry of Health,,1,,1
lHuuAQl16rT,Gachororo Health Centre,18608,,,7,,7
tCDh3rEYIVj,Gachuriri Dispensary,12023,,,,1,1
fvnBMGJT2Sb,Gaichanjiru Hospital,10199,,,3,,3
wpzFaD5rUsJ,Gakawa Dispensary,10200,,2,,,2
LcbKtIpSxFP,Ganda Dispensary,11382,,,,1,1
OZzaTu0NyK2,Ganze Health Centre,11383,,,1,,3
ycopTf0WqXO,Garbatulla Sub County Hospital,12029,,1,,,1
eOwcPUHIpgE,Garissa Level 5 Teaching and Referral Hospital,13346,,,2,1,3
JfanPlPxNKE,Gategi Health Centre,16463,Health centre,,3,,3
ZcNH8iNquIL,Gathambi Health Centre,10213,,,1,,1
