organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Infected_24mths HV02-47,MOH 731 Uninfected_24mths HV02-48,MOH 731 Unknown_Outcome HV02-49,MOH 731 Net cohort_HEI_24 months HV02-50
y0kyyERURWh,Jumuia Mission Hospital Kaimosi,15913,,,8,,8
lR6W5tK8hAq,Junda Dispensary,20491,,1,,1,2
l6jqUUJvImb,Kabarak Health Centre,14606,,,3,,3
kXKjaWPSN9N,Kabartonjo Referral Hospital,14609,,2,4,,4
ciJFdty24Uw,Kabatini Health Centre,14610,,1,1,1,2
KmYG2XJfp6W,Kabianga Health Centre,14613,,,2,,2
Zzn7r9ALZIk,Kabiemit Health Centre (Mosop),14618,,,1,1,2
XzKZTSICokw,Kabiyet Sub County Hospital,14623,,1,3,,4
IpxTP5z54Zq,Kaborom Dispensary,15910,,,1,1,2
OOXFr1NfIlA,Kabuchai Health Centre,15911,,,1,,1
S1i3cmxCbgX,Kabula Health Centre,15912,,,7,,7
FeUHA7ixSA6,Kabura Uhuyi Dispensary,17531,,,3,,3
WLvYlxbdgy7,Kabutii-Matiret Dispensary,14633,,,13,1,14
WDe0umtdbif,Kabuto Dispensary,13639,,,2,,2
wUI5w5hVFXn,Kachuth Health Center,18876,,,7,,7
Z7ruKy2DyTa,Kadem Tb & Leprosy Dispensary,13640,,,16,,17
iAuQRWVoRpK,Kadenge Ratuoro Health Centre,13641,,,8,,8
i6oyLBSxWfZ,Kadhola Health Center,16769,,,12,,12
My0xFBJaM5c,Kadinda Health Centre,16283,,,9,,9
k1gDvwc81yh,Kadzinuni Dispensary,11447,,,1,,1
BuKsUiPIIkt,Kagaa Health Centre,10394,,,1,,1
CUCTqzLEY0L,Kager Dispensary,13643,,,5,,5
UUbhK0ZeTTz,Kagio Catholic Dispensary (Mary Immucate Catholic Dispensary),10398,Kagio town-off Kutus/Sagana road,,3,,3
L3Cj0eucYCp,Kagumo Health Centre,10402,Kagumo market off Kerugoya/Karatina road,,2,,2
T9MIrcv0VeS,Kagwa Health Centre,13644,,,5,,5
dtRiIn99llQ,Kahawa West Health Centre,12997,,1,13,2,16
q6NwSRm7CoV,Kahembe Health Centre,10419,,,1,,1
MDeK1JwZtsM,Kaibei Dispensary,14639,,,,1,1
xNQuM1wTWrJ,Kaiboi Mission Health Centre,14640,,1,2,,3
LBDUxvoZSdI,Kaikor Sub County Hospital,14643,,,2,,2
lkXTcVtB8kE,Kainuk Health Centre,14645,,,1,,1
tGLKciw2MGf,Kajiado County Referral Hospital,14652,,,6,4,10
Hz3BwMUktOJ,Kakamega County General Hospital,15915,,,19,1,20
kWzAmRGUHal,Kakamega Forest Dispensary,15914,,,1,,1
RUhEEE3keZi,Kakeani Health Centre,12134,,,1,,1
Hkj3pG2XmPE,Kako Health Centre,12135,,,1,,1
Wj1gBKsF1lB,Kakuma Mission Hospital,14655,,,5,2,7
e7MYm1LjA3C,Kalaacha Dispensary,14657,,,2,,2
yFeGs5Liwzi,Kalawa Sub County Hospital,12147,,,3,2,5
T0UkaIvU3F9,Kaliani Dispensary,20579,,,1,,1
JeuBdNUUREJ,Kalimoni Mission Hospital (Juja),10438,,,4,,4
N636nMR9Hsh,Kalokol (AIC) Health Centre,14663,,,2,3,5
h30PQ7TRRWD,Kaloleni Dispensary,12998,Operational,,3,1,4
xhfTwAI9TDu,Kalulini Health Centre (Kibwezi),12156,,,3,,3
SaC88wqvxMt,Kaluo Health Centre,13648,,,11,,11
cgGKqOQ5YLB,Kambajo Dispensary,13651,level 2 facility in maranda division,,10,,10
BEJQPDKe2Mo,Kambare Dispensary,17527,,,4,,4
Qv92hTqycLz,Kambi Ya Waya Dispensary,20771,OPERATIONAL,,3,,3
QUEf4kJAS00,Kambu Catholic Dispensary,11962,,,3,,3
ec7ckAJP9J8,Kambu Sub County Hospital,18596,,,4,,4
NGH1by3UZpG,Kamiti Prison Hospital,13000,,,2,1,3
ZAIMQkZn08B,Kamolo Dispensary,17242,,,1,,1
BpupuJNnQGM,Kamukuywa Dispensary,18346,,,6,1,7
oT7VzeRbscK,Kamutei Health Centre,12166,,,1,,1
y3pJobALcY5,Kamwosor Sub County hospital,14680,,,,1,1
JW0Lexz7zKS,Kanamai Health Care,11454,,,5,,5
VdAAkjhq6Fk,Kandara sub county hospital,10459,,,3,,3
xAqqRiXjUW3,Kandiege Sub-District Hospital,13653,,,6,,6
hxBXSpghyOY,Kangaita Health Centre,10462,Kana]gaita shopping centre,,2,,2
Lpc3U99ALpL,Kangari Health Centre,10465,,,1,,1
RmX34fyMVB3,Kangema Sub-County Hospital,10470,,,3,,3
y42Usl6TdyJ,Kangemi Health Centre,13001,,1,20,10,31
HOt2sRVZXbG,Kangu Dispensary,10471,,1,,,1
F9IW97vowsp,Kangundo Sub county Hospital,12177,,,10,,10
R43KcJMZGP3,Kaningo Health Centre,12178,,,,2,1
OhVOBYmtprM,Kanyagwal Dispensary,13654,,,7,,7
fKR3N7cmgQl,Kanyakine Sub County Hospital,12181,,3,5,1,9
lYQGgd4vdRL,Kanyangi Sub County Hospital,12184,,,1,,1
zUR10GhV7xz,Kanyenyaini Health Centre,10474,,,1,,1
pKwQQQX1kLw,Kanziku Health Centre,12190,,,1,,1
WjEssqA66dw,Kapcherop Health centre,14695,,,3,,3
FabEx0uwlU4,Kapenguria County Referral Hospital,14701,,,9,2,11
vkknkSx0EGT,Kapisimba Dispensary,18506,,,1,,1
nw9YVA9Tx6R,Kapiyo Health Centre,13655,level 3 facility in maranda,,9,,9
cqhuJyqvQEI,Kapkangani Health Centre,14704,,,1,2,3
xq0lRpKYnEm,Kapkateny Dispensary,15922,,,1,,1
GOhRziVaDUw,Kapkatet Sub County Hospital,14706,,,18,,18
O7dzFmz0Df7,Kapkoi Health Center,14720,,,4,2,6
SofFIp5ILCw,Kapkoros Sub-county hospital,14728,,,6,,6
BsRAEfmFfM3,Kapkures Health Centre (Nakuru west),14733,,,4,4,8
DZ6jQqCN4Zo,Kaplamai Health Centre,14734,,,3,,3
Epg5CqAuaHn,Kaplong Hospital,14741,,,6,,6
CCtjKGD19ba,Kapsabet County Referral Hospital,14749,,,15,1,40
P4bWQeI57XU,Kapsara Sub County Hospital,14753,,1,1,2,4
i8iYlkT3T2S,Kapsisiywo Dispensary,14761,,,1,2,3
T4xwbinQdKG,Kapsitwet Dispensary,14762,,,2,,2
syjqhftfG5l,Kapsowar (AIC) Hospital,14767,,,1,,1
WmVkqxdy4xB,Kapsoya Health Centre,14769,,,2,,2
pIRUamww2Tr,Kaptama Health Centre,22508,,,1,,1
hqiyXj3Cfxz,Kaptech Dispensary,16456,,,1,2,3
x7ruP7fXiZQ,Kapteren Health Centre,14781,,,,1,1
u1GwmEW9bNo,Kaptumo Sub-County Hospital,14792,,,,,8
QMdjmr0246S,Karagita Health Centre,14801,,,12,,12
bLeCBUFM3wP,Karatina Sub-county Hospital,10485,,,16,3,19
vzZ53lAMdJp,Karatu level 4 hospital,10489,,2,,1,3
T0QCTzRDCcr,Karen Health Centre,13003,,,12,1,13
Waoec9qt8ol,Karima Health Centre,15927,,,,1,1
EEKdchSCqh9,Kariobangi EDARP,18743,,1,12,3,16
iBcBmbBexUS,Kariobangi Health Centre,13006,,,19,1,20
tlOLq1sNrig,Kariobangi South Dispensary,17434,,,5,1,6
g653XuQUVyj,Karumandi Health Centre,10504,Karumande market-off Kimautugu/Embu road,,1,,1
NRf14PUD9xc,Karungu Sub-County Hospital,13656,,,25,,25
Pa9tT2RsExD,Karuoth Dispensary,17533,,,7,,7
JQnQJCpt8av,Karura Health Centre,13009,Located along Kiambu Road,,2,,2
zYFy90m10i1,Karuri Level 4 Hospital,10507,,1,9,2,12
oaUZAfsPmoJ,Karurumo Rhtc,12203,,,2,1,3
tgcsqKSppEP,Kasaala Health Centre,12204,,,1,,1
FGeEpfWlpMJ,Kasarani Health Centre,13010,,,10,3,13
GJda6nR1YiA,Kasigau Rdch,11455,,,1,,1
D1sNaKhXlyS,Kasongo Dispensary,16282,,,2,,2
GPXXnUS62UB,Katangi Health Centre,12215,,,2,1,3
hORllbg4SRu,Katani Dispensary,12217,,,2,,2
p6OOqwGbiA0,Kathiani Sub County Hospital,12230,,,4,,4
G9Fbh4fc5zU,Kathonzweni Health Centre,12236,,,1,,1
KmXHJRTmJL9,Kathulumbi Health Centre,12238,,,,1,1
BAtfedDlU9v,Katilini Health Centre,12241,,1,,1,2
LXsaR9BQim1,Katilu Sub County Hospital,14818,,,3,1,4
jlWXLaZNtbr,Katito Sub County Hospital,13657,,,26,,26
CZEFya4R7Q9,Katolo-Manyatta Dispensary,18421,,,2,,2
VgkdbpChtIJ,Katulani Sub County Hospital (Kitui),16991,,,3,1,4
AP3Z7jKwro7,Kauma Health Centre (Rachuonyo),13658,,,7,,7
nLISoUBRUAF,Kauwi Sub County Hospital,12255,on the way Kitui-Kanyoonyoo-Thika road near Kabati town,,2,,2
P3f1rMxZYHL,Kaviani Health Centre,12257,,,2,,2
lCVPvilzEK3,Kayaya Dispensary,16710,,,1,2,3
wWnSMqLNWOk,Kayole I Health Centre,13015,Off Kangundo Road,1,16,7,24
xvrQsmtAQsS,Kayole II Sub County Hospital,13016,,,34,10,44
W9Yb3HlYhsB,Kedowa Dispensary,14824,,,1,,1
KvnMTF9ACOd,Kegogi Health Centre,13662,,1,2,,3
X2FnCxPnyEH,Kegondi Health Centre,15928,,,1,,1
NoZjHcIDHGW,Kegonga Sub County Hospital,13663,,,2,,2
dwu3NQizNkT,Kehancha Sub-County Hospital,13726,,,7,3,10
zAs4m0LzAxE,Kemeloi Health Centre,14825,12km East of Serem Market alongKobujoi Serem road.,,3,,1
ide1oUojpWU,Kemri VCT,13019,,,1,,1
EhJ2SBfPRSW,Kendu Adventist Hospital,13667,,,30,,30
lobiB7sMHcN,Kendu Sub-District Hospital,13668,,,10,,10
brSpidcNdoF,Kenyambi Health Centre (Nyamira),16980,,,1,,1
ZWwPSTkiLWX,Kenyatta National Hospital,13023,,,33,3,36
tKlvNnIuqxp,Kenyatta University Dispensary,13024,,,,1,1
B6t2Uc0FqSP,Kenyenya Health Centre (Nyamira),20141,,,1,,1
a1KIkjd2PRa,Kenyenya Sub County Referral Hospital,13673,,1,7,,8
PRImqKybQ8n,Kenyerere Sub County Hospital,13674,,,1,,1
KIcB1UkdXXb,Kenyoro Health Centre,13676,,,1,1,2
IgrMpQRUx5y,Kericho County Referral Hospital,14831,,3,43,5,51
lqtFpfrMOcJ,Keringet Sub County Hospital,14836,,,4,2,6
EqyJ3aErOqW,Kerio Health Centre,14838,Located in Kerio Divison,,1,,1
GqJwyzb70oA,Kerugoya County Refferal Hospital,10520,,,12,2,14
SFjMLzXWaWY,Kesses Health Centre,14841,,,1,3,4
sgKiVsxPcyB,Keumbu Sub County Hospital,13680,,,5,,5
r5bAjjkOcRq,Khalaba Health Centre,15931,,,2,4,6
eHCJ8sB2OJd,Khalwenge Dispensary,22570,,,1,,1
t6T4az63PGl,Khaoya Dispensary,15933,,1,,,1
OwaQqvBExjF,Khasoko Health Centre,15935,,1,2,,3
hbWUwbyiJhb,Khaunga Health centre,15936,,,,2,2
TJnBh1U3GEs,Khunyangu Sub County Hospital,15939,,,20,3,23
kyuG50xCh7R,Khwisero Level IV Hospital,15940,,,6,,6
fyiHrh4tOpQ,Kiamabara Health Centre,10530,,,1,,1
QtkuzgCwZnB,Kiambere Dam Dispensary,12271,,,4,,4
KQKx6gpqt19,Kiambogo Dispensary (Gilgil),14845,,,2,2,4
X3m67s9fYES,Kiambu County Referal Hospital,10539,,,33,4,37
gUMUKtsdh8z,Kiamutugu Health Centre,10545,Kiamutugu shopping centre-off Kutus/Kianyaga road,,1,,1
ba63sP0ArOy,Kiandutu Health Centre,16814,,1,11,7,19
MxxUSfpmXEr,Kianjokoma Health Centre,12279,,,1,,1
fi4t3iRQ5Ng,Kianyaga Sub-County Hospital,10565,,1,2,2,5
bcUwAhP3wRu,Kiaruta Dispensary,13685,,,5,,5
E7Y4bV5AjJV,Kiasa Health Center,13686,,,11,1,12
PZKXP2PYFKX,Kibera Community Health Centre (Amref),13028,,1,35,4,40
mi7ORwgRy3S,Kibera D.O. Dispensary,13029,,,5,,5
SXegfern6PF,Kibigori Dispensary,13687,,,9,,9
CbWO3Te8Tut,Kibirichia Sub-District Hospital,12282,,,3,,3
xlpkJEXcIDZ,Kibisi Dispensary,15943,,,,3,3
tWQw1jmjWO4,Kibogo Dispensary,13688,,,10,,10
rVDOiFMpHlD,Kibugu Health Centre,12287,,,2,1,3
WCjUg04KkUY,Kibung'a Sub County Hospital,23887,,,1,,1
dzNztOh9T5P,Kibwezi Sub County Hospital,12291,At Kibwezi Town along Kalimani - Kitui Road. 500m from the main Nairobi-Mombasa road,,5,,11
EZAag3FkBnY,Kiganjo Health centre,10581,,,3,,3
F7WS5lx7cG9,Kiganjo Health Centre,10582,,,4,,4
GdJBEHyjtcF,Kigumo Sub County Hospital,10588,,,2,3,5
bxheWBppb9H,Kihara Sub County Hospital,10591,,,13,1,14
HVOJPKtJhsG,Kijabe (AIC) Hospital,10602,,,1,,1
IIw7XjguWks,Kijabe (AIC) Hospital Marira Medical Clinic,10693,,,9,,9
OQ9TVd3E10r,Kijani (Mirera) Dispensary,17821,,,1,1,2
toOGtwnm0oz,Kijauri Sub County Hospital,13692,,,6,,5
L5vghcuxIpC,Kijawa Health Centre,16765,,,5,,5
ZbuU0YQiDug,Kikesa Health Centre,12305,,,1,,1
pjoG55x2KMq,Kikoko Mission Hospital,12306,,,1,,1
UrRsO2NsxHZ,Kikoneni Health Centre,11472,,,3,,3
HO8XXXER1ZS,Kikuyu (PCEA) Hospital,10603,,,8,,8
OjwX5IrpWkM,Kilala Health Centre,12309,,,4,,4
nyNZg4aC19J,Kilibwoni Health Centre,14866,,,1,,1
HVsXeh7EatU,Kilifi County Hospital,11474,,,18,6,24
uGkRT5JzUwe,Kilili Health Centre,12312,,,1,,1
DdPmglUPme3,Kilingili Health Centre,15945,,,2,2,4
HKuDiBH4yTb,Kilungu Sub County Hospital,12314,,,12,,6
OwA3FdxjmkQ,Kima Mission Hospital,15946,,,2,,2
XbRB4QvjEBy,Kimaeti Health centre,15947,,1,3,1,5
yUxuh0HkWnr,Kimalewa Health Centre,15948,,,1,,1
Y9qucizTmZG,Kimana Health Centre,14868,,,6,1,7
ZAp1tGmL6oO,Kimbimbi Sub-County Hospital,10609,,,12,,12
Bs89THDd5QL,Kimilili Subcounty Hospital,15950,,,6,3,9
KgRIBuqUqbj,Kiminini Cottage Mission Hospital,14872,,1,3,,4
BBja2vvFgHY,Kimnai Dispensary,14874,,,3,,3
JBUB73WGzNi,Kimondi Forest Dispensary,14876,,,1,,1
p0zbkFwLKIu,Kimonge Health Centre,13693,,,4,,4
trxPkQIiUSK,Kina Dispensary,12319,,,4,,4
KT34EaG36YR,Kinango Sub County Hospital,11480,I200 metres from Kinango Town Market,,6,,6
aSPafr5E6SG,Kinasia Dispensary,13694,Dispensay,,1,,1
vycaQ7VRJxH,Kineni Dispensary,22257,,,,1,1
EkOzgHoE8yb,Kinna Health Centre,12323,,,1,,1
wEmj5Y6nGNJ,Kinondo Kwetu Community Clinic,16547,,,10,2,10
F0Uf3SJ6y5k,Kinoru Dispensary,12326,,,2,,2
psJYcZgeJQ6,Kiobegi Dispensary (Bobasi),19917,,,2,,2
FWlciiBqhQn,Kiogoro Sub County Hospital,13696,,,6,,6
r1ZedtoM2sn,Kionyo Health Centre,13697,,,5,,5
LPKh4nXw3jE,Kipingi Dispensary,16269,,,1,,1
rDsVgG318og,Kipkelion Sub County Hospital,14897,,,1,2,3
OTu4xNrbdX0,Kipsonoi Health Centre,14920,,,,1,1
bnQePNfUZB8,Kiptere Dispensary,14928,,,1,,1
jlIvgmGm0gR,Kipwastuiyo Health Centre,14935,,,,2,2
l1J71xfA3v7,Kiria-Ini Mission Hospital,10627,,,7,1,8
dzPtnXVHu7C,Kiritiri Health Centre,16466,,,8,1,9
XIQZfo5zeey,Kisasi Health Centre (Kitui Rural),12340,,,1,2,3
RztzXSmM6Zu,Kisau Sub County Hospital,12341,,,3,1,4
YJtzYxZ8W75,Kisauni Health Centre,17911,,,6,,6
SAca0wPRzA8,Kisii Teaching And Referral Hospital (Level 6),13703,,8,11,,19
CSFHkngjmkK,Kisiiki Health Centre,12347,,,1,1,2
t2EKhTeMUOr,Kisima Health Centre,14943,Health Centre,1,2,,3
uBfCuhllvg3,Kisumu County Hospital,13704,located within Winam Division. GOK,,64,,64
Lhf5atPasou,Kitalale Dispensary,14946,,1,1,,2
zPojcAQtw2L,Kitale County Referral Hospital,14947,,1,54,7,62
WqgsRsVlbaG,Kitengela GK Prison Dispensary,14517,,,3,2,5
PHJHqpSpfRc,Kitengela Medical Services,14951,,,10,1,11
AW4Fs3TsAtO,Kitengela Sub-County Hospital,14950,,,25,,25
f3XukP1v8uT,Kitere Health Centre,17341,,,3,,3
p6yj2NscPQ5,Kithimani Health Centre,12357,,,10,1,11
MtUXQriAX6H,Kithimu Health Centre,12359,,,1,,1
G5ftbR0paKv,Kithyoko Health Centre,12362,,,1,,1
dtWdw8ogYzJ,Kitui County Referral Hospital,12366,,,6,1,7
syMX95GoW0g,Kituka Dispensary,13706,,,6,,6
AuletUO24bE,Kitutu Chache North Sub County Referral Hospital,13772,,,4,2,6
w0QBLXNdhK1,Kiumbu Health Centre,10641,Kiumbu shopping centre,,1,,1
Og5UEnRkvyU,Kivaa Health Centre,12375,,,4,,4
CUebFxNlAzb,Kivaani Health Centre,12376,,,3,,3
ekQxVaIMErv,Kivuli Dispensary,13036,,,2,,2
WQRkoXjzOCr,Kiwamu Health Centre,14954,,,2,,2
FYGO2TZZWuq,Kiwandani Dispensary,11493,,,4,1,5
xfNWSEyv3de,Kobodo Health Center,20241,,,5,,5
CwjlYsZ5UbP,Kobuya Health Centre,13708,,,3,,3
Q4XkYFvskeI,Kodiaga Prison Health Centre,13709,,,4,1,5
KPgXAJQ4rkD,Kodingo Health Centre,13727,,,5,,5
KgZZAFbhdee,Koduogo Health Centre,19861,,,10,,10
XZwiXe6lGnE,Kogelo Dispensary,13710,,,18,,18
JvTAtefBKPX,Kogweno Oriang' Dispensary,13711,,,2,,2
J645cFsNOCM,Koilot Health Centre,14965,,,1,,1
uXqhVeVab1Y,Koiwa Sub County Hospital,14970,,,2,,2
LYay7WMzdXz,Kokech Mirondo Health Center,21212,,,3,,3
DICdQoX6MX6,Kokuro Health Centre,14975,,,,2,2
Eiae4BkyI7w,Kokwanyo Health Centre,13712,,,5,,5
tHIuPy0T8F8,Kolenyo Health Centre,17172,,,1,,1
iX9MCYrhHOP,Koloo Dispensary,17038,,,11,1,12
UMrj6jMVGcj,Kolunga Health Centre,13642,,1,4,,5
Cm5Cyjgr17X,Kolwal Dispensary,17344,,,1,,
UaSLLKNersa,Komarock Modern Medical Care,17717,,,1,1,
WPhMyqa7tMP,Kombato Dispensary,16270,,,6,,6
tMymqzXY5dg,Kombewa County Referral Hospital,13714,Located on the Kisumu Bondo road,,42,1,43
clZmNWCEkGG,Kome Health Center,20347,,1,,,1
iIngX6G2Ezq,Kongoni Health Centre,15955,,,4,,4
f7VNgpLhVwW,Kongowea Health Centre,11499,,,4,3,7
MQcFGwW1QsE,Kopanga Dispensary (CHAK),13718,Situated in Suba West division and its a FBO Facility,,5,1,4
UF9HJO258Yp,Korogocho Health Centre,18895,,1,2,6,9
UnUk7uMZeBz,Koru Mission Health Centre,13719,,,3,,3
j6QLHcTeO6f,Korwenje Dispensary,13720,,,4,1,5
guIhLrHfgZq,Kory Family HospitaI (Kimilili),23738,Operational,,6,5,9
KYUD8eEHcCn,Kosele Health Centre,13721,,1,1,,2
DNnvCXUMH4v,Kowino Dispensary,13722,,,7,,7
aWpElDmioIw,Kuja Dispensary,13724,,,4,,4
tgRwAp3Oey9,Kunya Dispensary,13725,,,4,,4
kVf9NYAIaiL,Kunyak Dispensary,15001,,,1,,1
TAPp4w4qSDy,Kuoyo Kaila Health Centre,17171,,,1,,1
zeoRrDlbcNF,Kurangurik Health Centre,15002,,1,5,1,7
ZQBkmrdOpuC,Kuresoi Health Centre,16683,,,1,1,2
wWCwq9j5JFU,Kutus Dispensary,10647,Kutus town-Kutus mjini,,1,1,2
G26gYDAw5R1,Kwakavisi Dispensary,12398,,,1,,1
gbQw8OQtjpj,Kwale Sub County Hospital,11507,,,2,,2
mzBw4T72sa5,Kwamo Health Center,13728,,,2,,2
kbdzFwfqYb8,Kwanza Sub County Hospital,15003,,1,6,5,12
vshyHFPS1Mo,Kware Dispensary,23414,,,,1,1
FH1lPSOnK9z,Kwoyo Kodalo Dispensary,13729,,,3,,3
kUoL1ezN7NN,KYC Transmara,21206,,,4,,4
u27OZ3b9ijq,Kyuasini Health Centre,16254,,1,1,,2
Qpyxl9nhTo8,Kyumbi Health centre,21027,,,4,,4
YZuzvi5zGPy,Kyuso Sub County Hospital,12420,,,4,,4
f1mpqnM6p8W,Laare Health Centre,12422,,,5,4,9
MGXReb42dmA,Lambwe Health Centre,13731,,,5,,5
xMrLIAS6Y17,Lanet Health Centre,15008,,,15,,15
KyonjDmOEi9,Lang'ata Health Centre (Ruiru),18762,,,15,10,25
dPEyAJaDVPX,Langalanga Sub County Hospital,15009,,2,10,2,14
pyVe7DfRPnj,Langas RCEA Health Center,15011,,4,11,6,21
m516aDmFUUI,Langata Subcounty Hospital (Mugumoini),13041,,,9,3,12
QTbpZ8fdTZG,Langi Kawino Dispensary,18250,,,3,,3
Ku5nAnBOjpw,Langi Kodera Dispensary,25260,,,8,,8
QPi8HppUeQL,Lare Health Centre,15013,,,3,,3
v7AyMzU9144,Lari Level 4 Hospital,10655,,,2,,2
QaPgykvnQjc,Lea Toto (Kariobangi North),13045,,,121,12,133
k9ZL4QIqbiJ,Lea Toto Zimmerman,18828,,,112,,110
QW6vvfY5L0U,Lela community Health Centre,13733,,,3,,3
RmvqxZei2rD,Lemotit Dispensary,15026,,,2,,2
U6cuWLDIg1T,Lessos Comprehensive Health Centre,15030,,,4,,4
zKDQjMY6KLK,Lidha Dispensary,17525,,,4,,4
ZFly5uT5UHQ,Lieta Health Centre (Rarieda),17439,,,2,,2
XedKlZAN2O9,Ligala Dispensary,18320,,1,6,,7
AlQczmsgUJn,Ligega Health Centre,13735,,3,6,,9
NE6kXJlu9lG,Lihanda Health Centre,17512,,,3,,3
EOwZKRgVff8,Likii Dispensary,15035,,,2,,1
GwLVDDMCfyU,Likindu Dispensary,15960,,,2,,2
bvUg2vPkLWw,Likoni Subcounty Hospital,11522,,,13,,13
AbSJUr5oge2,Likuyani Sub-County Hospital,15961,,,3,3,7
DoFGg4toGRt,Limuru Health Centre,10661,,,7,,7
Y4WPy8CHdAl,Lipton Central Hospital,15761,,,5,,5
cydsug5htZ9,Live With Hope Dispensary,17589,,,48,,48
B9XQn7IBaMW,Loco Dispensary,13051,Dispensary,,6,,6
IDGEt81zZin,Lodwar County Referral Hospital,15049,,,16,2,18
Cx6s78Ev9QT,Loitokitok Sub County Hospital,15051,,,6,1,7
aKjGXxIWmX3,Lokichar (RCEA) Health Centre,15057,,,3,1,4
sfUb61y4eOl,Lokori Primary Health Care Programme,16324,,,2,,2
Qxt1FTtPDX9,Lolgorian Sub County Hospital,15068,,,,1,1
ttSQ3WmIuow,Lolwe Health Centre,21262,,,2,,2
feqZZjDHYmo,Londiani Sub County Hospital,15074,,,8,3,11
SuxAmnVfsiA,Longisa County Referral Hospital,15077,,2,9,2,7
qIGDrvFNv3H,Luanda Town Dispensary,15963,,,2,2,3
QwmMZVZSkRy,Lugari Forest Dispensary,15964,,,1,,1
GzJU2wkfa30,Lugulu Friends Mission Hospital,15965,,,11,1,12
cmnkbtwBEkZ,Lugumek Dispensary,15100,,,2,,3
H0082HeDWgo,Lukhome Dispensary (Kabuchai),15966,,,1,1,2
IrL6Uu2RpKO,Lukhome Health Centre,15101,,,1,1,2
dJlnXGDCdFE,Lukhuna Dispensary,15967,,,1,1,2
Uzbi7NX6aVo,Lukolis Model Health Centre,15968,,,1,,1
k0yug2XqYRT,Lumakanda County Hospital,15969,,1,2,5,8
r8z0MeOdroa,Lumani Dispensary,15970,,,,2,2
Z65JvisTm4o,Lumino Dispensary,18624,,,1,,1
qa07L6R8UeS,Lumumba Sub County Hospital,13738,Sub County Hospital,,46,7,47
V4mRikko5vW,Lung'anyiro Health Centre,15972,,,2,2,4
oveetILWJK3,Lunga Lunga Health Centre,13053,,,17,,17
mz64odxfFPq,Lungalunga Sub County Hospital,11526,,,2,,2
VuP1KLi79Bn,Lupida sub county hospital,15975,,,5,,5
kODtFznDC4N,Lurare Dispensary,15976,,,1,,
vlaFA7e0Boh,Lusheya Health Centre,15977,,,3,1,4
AKhVrrqumM6,Lusigetti sub-county hospital,10666,,,4,3,7
Z4h8itV1gpt,Lwala Community Hospital,13740,,2,21,,23
lkn5DPoeGjs,Lwala Kadawa Health Centre,17174,,,3,,3
enFogPQF7aZ,Lwanda Awiti Health Center,16770,,,5,,5
YFSNlKvGVDj,Lwanda Dispensary,13741,,1,9,1,11
UK55eWU12tC,Lwanda Gwassi Health Centre,13742,,,3,,3
EhyrEz0u06R,Lwanda Kobita Health Center,20285,,,6,,6
fCqYyRV7PKi,Lwandanyi Dispensary,15980,,,1,,1
QPgGjJSA4pB,Lyanaginga Model Health Centre,15982,OFF MAHANGA-KERONGO ROARD,,,1,1
PJpy4XMrHPm,Mabinju Dispensary,13743,level 2 facility in nyangoma division,,11,,11
dkDsAHgijLc,Mabole Health Centre,17297,,,2,2,4
aTrw18DrKW1,Mabusi Health Centre,15983,,,6,1,7
BXOrXdOZoWE,Macalder Sub-County Hospital,13745,,,16,,16
fG07wRWF4mw,Machakos Level 5 Hospital,12438,Near machakos town next to the bus station along machakos -wote road,,22,6,28
AitdgAZ8GD5,Madende Model Health Centre,15985,,,3,,3
NFVVCDVuAkk,Madiany Sub County  Hospital,13747,,,22,,22
RELmuAM0tcj,Madunguni Dispensary,11534,,,,1,1
hnveIA9HE5L,Magadi Hospital,15107,,1,1,,2
eZ1lHxSAjET,Magena Health Centre,13748,,,5,,5
CSHDsXBlP7m,Magenche Health Centre,13749,,,2,,2
gpUX2gUBsc9,Mageta Health Centre,13750,level 3 facility  in the island usigu division,,6,,6
IsPfFl0jTyA,Magina Health Center,18430,Health Center,,4,1,5
XfoCce2vn0n,Magina Health Centre,13751,,,8,,8
sgK5aw8tN1y,Mago Care Health Centre,21115,Situated along Chavakali Kaimosi road adjacent to Mago polytechnic,,1,,1
FcIvchcbwUH,Magombo Community Dispensary,17134,,,1,,1
nrZfcIAiyRx,Magombo Health Centre,13752,,,1,,1
ThT4PxgmYQL,Magongo (MCM) Dispensary,11538,,1,8,,9
vBqYUbQHTyR,Magunga Level IV Hospital,13753,,1,13,,14
fXf88nqZeKn,Magutuni Sub County Hospital,12445,,,5,,5
t0zCVxe2wkB,Mahaya Health Centre (Rarieda),13757,,,7,,7
D1MRmsEeJs8,Mai Mahiu Health Centre,15108,,,4,4,8
fdUe86MgnlP,Maiela Health Centre,15106,,,2,,2
dzOCj3AlCqe,Mailisaba Dispensary,20002,,1,,1,2
PuE4XHg3mFm,Maina Village Dispensary,10672,,,3,,3
DsOK1u3aO6G,Mainga Health Centre,21208,,,2,,2
qmZ0gpAyEdq,Makadara Hospital,13056,Along gogoo Road Opposite Hamza Makadara Railaw station,,20,4,24
ENCv690Yryw,Makadara Mercy Sisters Dispensary,13057,,,10,,10
MWWddpdCM6G,Makengi Dispensary (Embu),12453,,,1,,1
BDrlSp3SHoq,Makhonge Health Centre,15990,,,4,,4
NQrGfGGhV0g,Makindu Dispensary,13759,,,1,,1
