organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,periodid,periodname,periodcode,perioddescription,MOH 731 1st ANC Visits HV02-01,MOH 731 Known Positive at 1st ANC HV02-03,MOH 731 Initial test at ANC HV02-04,MOH 731 Total Given Penta 1 HV02-38,MOH 731 Known Exposure_at Penta 1 HV02-37,MOH 731 Positive Results_ANC HV02-11,MOH 731 Retesting_PNC<= 6 weeks HV02-08,MOH 731 Syphilis Screened_1st ANC HV02-24,MOH 731 TB cases _New HV03-076,MOH 731 TB Cases Tested_HIV HV03-078,MOH 731 TB Cases_Total HIV+ (HV03-077+080) HV03-081,MOH 731 TB_Total on HAART(HV03-082+083) HV03-084
vvOK1BxTbet,Baringo County,KE_County_30,,2020,2020,2020,,14994,127,13780,1346,312,80,642,10276,322,359,82,68
vvOK1BxTbet,Baringo County,KE_County_30,,2021,2021,2021,,17117,127,15560,2139,431,69,569,12012,523,423,113,121
vvOK1BxTbet,Baringo County,KE_County_30,,2022,2022,2022,,17410,125,14751,439,152,47,387,13288,797,587,154,149
vvOK1BxTbet,Baringo County,KE_County_30,,2023,2023,2023,,18667,147,17624,713,253,52,868,16018,887,664,155,132
vvOK1BxTbet,Baringo County,KE_County_30,,2024,2024,2024,,9608,69,9367,348,36,40,1211,8316,444,329,95,90
HMNARUV2CW4,Bomet County,KE_County_36,,2020,2020,2020,,24463,352,23814,2089,309,182,5890,20408,1374,1136,461,436
HMNARUV2CW4,Bomet County,KE_County_36,,2021,2021,2021,,27129,288,23141,3353,340,191,2722,22061,1257,1057,342,323
HMNARUV2CW4,Bomet County,KE_County_36,,2022,2022,2022,,24433,290,19212,3103,395,121,969,18256,1576,1114,368,320
HMNARUV2CW4,Bomet County,KE_County_36,,2023,2023,2023,,26052,372,25798,13451,7325,212,6844,23570,1674,1336,501,424
HMNARUV2CW4,Bomet County,KE_County_36,,2024,2024,2024,,19915,221,19685,18212,15953,152,15285,19834,1239,960,344,300
KGHhQ5GLd4k,Bungoma County,KE_County_39,,2020,2020,2020,,55490,909,54367,44023,30529,575,26319,51234,1118,905,282,270
KGHhQ5GLd4k,Bungoma County,KE_County_39,,2021,2021,2021,,58932,898,53288,45070,19578,497,14676,53963,1217,866,317,305
KGHhQ5GLd4k,Bungoma County,KE_County_39,,2022,2022,2022,,54072,778,44356,38896,9518,464,6255,47922,1405,715,326,309
KGHhQ5GLd4k,Bungoma County,KE_County_39,,2023,2023,2023,,53646,825,52993,44758,22403,582,20590,50916,1638,1151,498,477
KGHhQ5GLd4k,Bungoma County,KE_County_39,,2024,2024,2024,,40729,747,39832,33284,25034,413,23308,38003,1332,903,489,456
Tvf1zgVZ0K4,Busia County,KE_County_40,,2020,2020,2020,,26006,979,24997,19105,14753,408,11900,20270,684,466,269,241
Tvf1zgVZ0K4,Busia County,KE_County_40,,2021,2021,2021,,28459,975,26788,19563,14430,358,8923,21465,842,570,301,274
Tvf1zgVZ0K4,Busia County,KE_County_40,,2022,2022,2022,,26986,935,23355,19344,10222,312,4878,16117,897,439,413,349
Tvf1zgVZ0K4,Busia County,KE_County_40,,2023,2023,2023,,26528,878,25899,20992,14081,348,10868,22733,941,542,448,404
Tvf1zgVZ0K4,Busia County,KE_County_40,,2024,2024,2024,,19450,768,18917,13531,11261,262,10409,17623,1023,646,483,432
MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,2020,2020,2020,,13829,109,13718,5133,2840,84,3226,11277,300,264,65,65
MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,2021,2021,2021,,14677,114,14030,6329,2869,79,2936,11788,385,318,76,72
MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,2022,2022,2022,,13242,120,12508,6448,2931,56,2169,11173,440,357,79,79
MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,2023,2023,2023,,12955,133,12737,6637,3962,76,3365,11339,552,482,86,85
MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,2024,2024,2024,,7659,74,7557,3344,2830,39,2837,6546,299,266,52,46
PFu8alU2KWG,Embu County,KE_County_14,,2020,2020,2020,,14763,246,14360,12621,459,145,9482,13848,581,509,150,133
PFu8alU2KWG,Embu County,KE_County_14,,2021,2021,2021,,14877,246,12991,12197,2748,125,4182,12915,1220,930,196,196
PFu8alU2KWG,Embu County,KE_County_14,,2022,2022,2022,,14564,229,12525,12011,2516,106,3121,12152,1561,1053,252,240
PFu8alU2KWG,Embu County,KE_County_14,,2023,2023,2023,,14456,235,14486,12686,4940,125,5191,13459,1598,1277,242,209
