organisationunitid,organisationunitname,MOH 731 Positive_Total (Sum HV01-18 to HV01-25) HV01-26,burden_category,MOH 731 Infected_24mths HV02-47,MOH 731 Uninfected_24mths HV02-48,MOH 731 Net cohort_HEI_24 months HV02-50,transmission_rate
Sl09BVeTcZl,Mundoli Health Centre,2.0,Low/Moderate,,1.0,1.0,
eFmuvjEF89U,Mung'ang'a Health centre,2.0,Low/Moderate,,,1.0,
QwqmynrcOV7,Munyu Health Centre,4.0,Low/Moderate,,2.0,4.0,
Tf9HS4ZXH3Z,Mur Malanga Dispensary,1.0,Low/Moderate,,3.0,3.0,
A19e0CHhTj3,Murang'a County Refferal Hospital,14.0,Very High,,18.0,19.0,
JPl6BiRGUjp,Murungaru Health Centre,5.0,Low/Moderate,,4.0,4.0,
HLBR8Fm8NHq,Musembe Dispensary,1.0,Low/Moderate,,2.0,2.0,
cFRuOTWF3ur,Musembe Dispensary (Lugari),1.0,Low/Moderate,,1.0,2.0,
Ve2zZoZ9dvj,Muthale Mission Hospital,4.0,Low/Moderate,1.0,2.0,3.0,33.33333333333333
iLfGXM4vg6l,Muthambi Health Centre,12.0,Very High,,3.0,5.0,
ELHafKamFIR,Muthara Sub-District Hospital,10.0,High,,2.0,4.0,
ySJxoRMN3tm,Muthetheni Health Centre,5.0,Low/Moderate,,1.0,1.0,
kv6VZcAEqRF,Mutithi Health Centre,6.0,High,,7.0,7.0,
gKXNQonSJV4,Mutituni  Level 4 Hospital,8.0,High,1.0,10.0,11.0,9.090909090909092
qEsCuWc2eMM,Mutuati Sub Couty Hospital,8.0,High,1.0,8.0,10.0,10.0
faEkuP9l1mp,Mutyambua Sub County Hospital,5.0,Low/Moderate,,1.0,1.0,
i091Ei10XBM,Muyeye Health Centre (Municipal),17.0,Very High,,11.0,12.0,
SkwAFqB5xbI,Mvita Health Centre,6.0,High,,1.0,1.0,
Ukppsz4Mj3M,Mwala Subcounty Hospital,17.0,Very High,,2.0,4.0,
fcY1fkS6bL1,Mwatate Sub-District Hospital,5.0,Low/Moderate,,4.0,5.0,
cfROZdjYJFC,Mweiga Health Centre,2.0,Low/Moderate,,3.0,3.0,
R9fTJQSUjAc,Mwer Dispensary,2.0,Low/Moderate,,6.0,6.0,
cSJA4hwmlLm,Mwihila Mission Hospital,4.0,Low/Moderate,,2.0,2.0,
ClVMQmETF4u,Mwingi Level IV Hospital,26.0,Severe,1.0,12.0,13.0,7.6923076923076925
eEVi7Ji3nke,Mwongori Dispensary,1.0,Low/Moderate,,3.0,3.0,
uj2UMJenimd,Nabongo Dispensary,6.0,High,1.0,5.0,7.0,14.285714285714285
QY0YH92HfWO,Nairagie Enkare Sub-County Hospital,15.0,Very High,1.0,1.0,2.0,50.0
BtD2riFtR1r,Nairobi Remand Prison Health Centre,17.0,Very High,,3.0,3.0,
fuHWUdVeIZl,Naisoya Dispensary,2.0,Low/Moderate,,1.0,1.0,
FhqUs6aRJoX,Naitiri Sub-County Hospital,12.0,Very High,,10.0,14.0,
m6ITwjXu5J5,Naivasha (AIC) Medical Centre,16.0,Very High,,12.0,12.0,
RU2jRqYCp2E,Naivasha District Hospital,46.0,Critical,1.0,36.0,42.0,2.380952380952381
rwmAZ2gLzS7,Naivasha GK Prison Annex Dispensary,4.0,Low/Moderate,,1.0,1.0,
OCkGCPhF8Gs,Nakuru Provincial General Hospital,88.0,Critical,,34.0,56.0,
DIvySewPpEf,Nakuru West Health Centre,7.0,High,1.0,6.0,8.0,12.5
gvplllzYFPk,Nakwamoru Health Centre,1.0,Low/Moderate,,2.0,2.0,
DIonv0JYDFH,Nala Maternity and Nursing Home,1.0,Low/Moderate,,2.0,2.0,
bm0xjIsElOx,Namagara Dispensary,6.0,High,,4.0,6.0,
T8ykBEN4kyI,Namanga Health Centre,16.0,Very High,1.0,3.0,4.0,25.0
Bq8H9szTsYf,Namanjalala Dispensary,7.0,High,,,1.0,
z6NaFzIMBFT,Namasoli Health Centre,3.0,Low/Moderate,,3.0,3.0,
SPfT81d1gVx,Namba Kodero Dispensary,2.0,Low/Moderate,,9.0,9.0,
wwBB7XKIgr8,Nambale Sub County Hospital,25.0,Severe,,11.0,11.0,
G8avY4Gzra8,Namboboto Dispensary,8.0,High,,1.0,1.0,
vpcUN6fhhfX,Nambuku Model Health Centre,3.0,Low/Moderate,,3.0,8.0,
Nq0dWw681Qs,Namelok Health Centre,8.0,High,,2.0,2.0,
q7a1TH1APLe,Namuduru Dispensary,2.0,Low/Moderate,,2.0,2.0,
DwUrEH0QR9t,Namukuse Dispensary,2.0,Low/Moderate,,2.0,2.0,
ucpxRXJhTuE,Nandi Hills County Hospital,14.0,Very High,,7.0,4.0,
EGS0saGNDoS,Nangina Dispensary,8.0,High,,7.0,7.0,
