organisationunitid,organisationunitname,MOH 731 Positive_Total (Sum HV01-18 to HV01-25) HV01-26,burden_category,MOH 731 Infected_24mths HV02-47,MOH 731 Uninfected_24mths HV02-48,MOH 731 Net cohort_HEI_24 months HV02-50,transmission_rate
Abx1zrqutJ6,Oriang (SDA) Health Centre,1.0,Low/Moderate,,3.0,3.0,
IDjYKFT9aaF,Oriang Kanyadwera Dispensary,3.0,Low/Moderate,,1.0,1.0,
WdXqR4s4oYz,Oridi Health Center,2.0,Low/Moderate,,6.0,6.0,
fjQDkluQIse,Oroche Dispensary,2.0,Low/Moderate,,4.0,4.0,
cZQlPWrhosA,Oruba Nursing and Maternity Home,1.0,Low/Moderate,,2.0,2.0,
grOgz9Y2EUz,Orwaki Dispensary,1.0,Low/Moderate,,1.0,1.0,
y1WqAJwDmmi,Osewre Dispensary,1.0,Low/Moderate,,1.0,1.0,
LWoO0Z47tGZ,Osieko Dispensary,7.0,High,,4.0,4.0,
G4FemD36hGF,Osingo Dispensary,4.0,Low/Moderate,,5.0,5.0,
nNxsnNursRY,Otacho Dispensary,2.0,Low/Moderate,4.0,4.0,8.0,50.0
K7MbyOwY6BH,Otange Health Center,8.0,High,,7.0,7.0,
V6P9Brv9LmO,Otati Dispensary,1.0,Low/Moderate,,2.0,5.0,
AoO1uzcsLs0,Othaya Sub County Hospital,12.0,Very High,,6.0,6.0,
hpkiX97MN3B,Othoch Rakuom Dispensary,4.0,Low/Moderate,,12.0,12.0,
eogI9KAaTj9,Othoro Level 4 Hospital (Rachuonyo),15.0,Very High,,12.0,13.0,
HIbQsMgPQm0,Othoro Sub County Hospital,5.0,Low/Moderate,,6.0,7.0,
tEu5VkVwaK7,Our Lady of Lourdes Mutomo Hospital,10.0,High,1.0,6.0,7.0,14.285714285714285
lna5hD9un4O,Our Lady of Lourdes Mwea Hospital,6.0,High,,8.0,8.0,
xHrYMm0ZsQu,Ouya Dispensary,4.0,Low/Moderate,,5.0,5.0,
CDCeYZgAB3g,Oyamo Dispensary,1.0,Low/Moderate,,2.0,2.0,
WV0WSrN5Wki,Oyani (SDA) Dispensary,2.0,Low/Moderate,,5.0,6.0,
EVf9vo84kFZ,Oyani Sub County Hospital,12.0,Very High,1.0,7.0,10.0,10.0
PNrZ6dCwfLs,Oyuma Health Centre (Rachuonyo),1.0,Low/Moderate,,,1.0,
qJwEgqDnkAC,Pala Level 4 Hospital,16.0,Very High,,6.0,6.0,
kuBecESrd0Y,Pala Masogo Health Centre,6.0,High,,4.0,4.0,
iBuAKaM0WO2,Pand Pieri Community Dispensary,21.0,Severe,5.0,5.0,12.0,41.66666666666667
ybNHUZ8G4xz,Pap Kodero Health Centre,8.0,High,,9.0,9.0,
udyfhz4XKDn,Patanisho Maternity and Nursing Home,4.0,Low/Moderate,,1.0,1.0,
XgnBT8Pug4r,PCEA Chogoria Hospital,20.0,Severe,,10.0,10.0,
z3nMgma1Kt1,Piny Owacho Dispensary,1.0,Low/Moderate,,4.0,4.0,
PtapijBoEPe,Ponge Health Center,1.0,Low/Moderate,,1.0,1.0,
WcObK0U8pXU,Ponge Health Centre (Suba North),3.0,Low/Moderate,3.0,,3.0,100.0
pOzVvOXQ6TL,Port Florence Hospital,8.0,High,1.0,15.0,16.0,6.25
K6JHRvs7bAu,Port Reitz Sub County Hospital,27.0,Severe,,4.0,5.0,
vqZ76KANEWN,Port Victoria Hospital,22.0,Severe,,25.0,27.0,
LSjjW2Uph1L,Pstc Health Centre,1.0,Low/Moderate,,2.0,2.0,
qNJkz8G7pfV,Pumwani Majengo Dispensary,25.0,Severe,,12.0,12.0,
DAfqnwB2Uhh,Pumwani Maternity Hospital,25.0,Severe,,32.0,32.0,
eMMojDvhND0,Rabai Sub County Hospital,10.0,High,,10.0,13.0,
bejbJuEmJLP,Rabar Health Centre,5.0,Low/Moderate,,14.0,14.0,
aCOEeeYEcsO,Rabondo Dispensary,5.0,Low/Moderate,,7.0,7.0,
xHpOSfsb09z,Rabuor Sub County Hospital,12.0,Very High,,28.0,28.0,
ieD6w3xqG0G,Rachar Sugar Belt Hospital,5.0,Low/Moderate,,3.0,6.0,
Psa3nl6S4SK,Rachuonyo County Hospital,85.0,Critical,,39.0,47.0,
t68YwvegZ4I,Rachuonyo East Sub County Hospital,12.0,Very High,,14.0,14.0,
szk9vzhrYeY,Radienya Dispensary,1.0,Low/Moderate,,3.0,4.0,
AqD7UCCUGCh,Rae Dispensary,11.0,High,,4.0,4.0,
ILrXVyvqFwX,Raganga Health Centre,6.0,High,,3.0,3.0,
mRPHsiYtXeO,Rageng'ni Dispensary,3.0,Low/Moderate,,3.0,3.0,
mbaB7dMts46,Ragwe Health Centre,1.0,Low/Moderate,,8.0,8.0,
uNfRv08L7NJ,Railways Dispensary (Kisumu),18.0,Very High,1.0,13.0,14.0,7.142857142857142
iM48NtgCfPO,Railways Dispensary (Mombasa),4.0,Low/Moderate,,1.0,1.0,
JRzEwsiGNOs,Ram Hospital,1.0,Low/Moderate,,2.0,2.0,
w6gmsyy7sL6,Rambugu Dispensary (Rarieda),3.0,Low/Moderate,,4.0,4.0,
vyIRQtMwS3K,Rambula Dispensary,4.0,Low/Moderate,,7.0,7.0,
I12ueCqFUQG,Ramula Health Centre,10.0,High,,7.0,7.0,
tKxiY0VjNrr,Randago Dispensary,5.0,Low/Moderate,1.0,7.0,9.0,11.11111111111111
yLorzTZpbmc,Randung' Health Centre,4.0,Low/Moderate,,6.0,6.0,
I2z6MT7pHrX,Ranen (SDA) Dispensary,7.0,High,7.0,7.0,14.0,50.0
ytVjSxVQbQ2,Rangala Health Centre,7.0,High,1.0,14.0,15.0,6.666666666666667
qoY3GWB320k,Rangwe (SDA) Dispensary,4.0,Low/Moderate,,14.0,14.0,
o8qbdITAWcU,Rangwe Sub-County Hospital,17.0,Very High,,10.0,10.0,
RpoDr08py8E,Rapcom Nursing and Maternity Home,3.0,Low/Moderate,,10.0,15.0,
CHWDHwHN1da,Rariw Health Centre,5.0,Low/Moderate,,6.0,6.0,
aTQwZSIIxPA,Ratta Health Centre,5.0,Low/Moderate,,7.0,7.0,
jC5xoC8BnPT,Regaol Barnabas Medical Centre,9.0,High,,10.0,10.0,
rsvp3dkcgmQ,Remba Health Centre,2.0,Low/Moderate,,8.0,8.0,
p6Sle8EB5TO,Rera Health Centre,5.0,Low/Moderate,,7.0,7.0,
XIIEtZGP1iY,Rhonda Health centre,3.0,Low/Moderate,1.0,11.0,18.0,5.555555555555555
PduUv9FH59L,Riana Health Centre,1.0,Low/Moderate,,1.0,1.0,
RuEWpmWUmCM,Riat Dispensary,3.0,Low/Moderate,,2.0,2.0,
g8H5Hr3A1QX,Riat Dispensary (Migori),3.0,Low/Moderate,,5.0,5.0,
ueSbUJtjGM9,Ringiti Health Centre,5.0,Low/Moderate,,1.0,2.0,
ZyVu64QtPyq,Riotanchi Health Centre,3.0,Low/Moderate,,2.0,2.0,
GOxptySBE5j,Riruta Hospital,46.0,Critical,,22.0,24.0,
xOk8BwV5Uta,Rodi Health Centre,3.0,Low/Moderate,,7.0,8.0,
EumBiY0A93D,Rombo Health Centre,12.0,Very High,,1.0,1.0,
IZ78jKxuNvk,Rongai Health Centre,6.0,High,,5.0,8.0,
KV7mZo1P75i,Rongo Sub County Hospital,39.0,Severe,1.0,38.0,42.0,2.380952380952381
t5ezj03HWYj,Roret Sub County Hospital,9.0,High,,3.0,3.0,
E5fkFJ09xpE,Rota Health Centre,9.0,High,1.0,2.0,3.0,33.33333333333333
G2SApeuVqIS,Royal Medical Hospital and Maternity Home Limited,6.0,High,,9.0,9.0,
QtLL3zPlb1l,RTC Medical Centre,1.0,Low/Moderate,,2.0,2.0,
MEh9RhjHr40,Ruai (EDARP) Clinic,6.0,High,,5.0,7.0,
tdskla3Fuag,Ruai Health Centre,18.0,Very High,,9.0,9.0,
pk6P7fleFU8,Ruaraka Uhai Neema Hospital,9.0,High,,9.0,9.0,
d62fP00Szyv,Ruiru Sub-County Hospital,44.0,Critical,1.0,31.0,36.0,2.7777777777777777
KK9ISvjjUvP,Rukala Model Health Centre,4.0,Low/Moderate,,1.0,1.0,
JXcyxGXlL9O,Rumbiye Dispensary,1.0,Low/Moderate,,,1.0,
OSC2ngoYEYM,Rumuruti District Hospital,9.0,High,,8.0,8.0,
f8GXUUOSkR6,Runyenjes Sub County Hospital,11.0,High,,10.0,12.0,
gComlbUf3gB,Rusinga Dispensary,4.0,Low/Moderate,,1.0,1.0,
gWGorl4dyrC,Rusinga Island of Hope Humanist Health Centre,3.0,Low/Moderate,,9.0,9.0,
bXn7IY2ZYMz,Rwambwa Sub-county Hospital,5.0,Low/Moderate,1.0,10.0,11.0,9.090909090909092
OKBBkzppdal,Sabasaba Health Centre,5.0,Low/Moderate,,6.0,6.0,
m6zhE2pzHWO,Sabatia Sub County Hospital,13.0,Very High,,9.0,9.0,
ikKNYc51MsI,Saboti Sub County Hospital,7.0,High,1.0,4.0,5.0,20.0
q9xXncCEGRK,Sacred Heart Dispensary,16.0,Very High,,3.0,4.0,
cPU7gAlPGs7,Sagam Community Hospital,9.0,High,,5.0,5.0,
sm3tsYY05ZR,Sagana Sub County Hospital,7.0,High,,6.0,6.0,
TDU6t8gEJgE,Sakali Dispensary,1.0,Low/Moderate,,4.0,4.0,
GRZc4EZ9PuV,Samburu Sub County Hospital,10.0,High,1.0,3.0,5.0,20.0
taNmXyxY87R,Sango Rota Health Centre,3.0,Low/Moderate,1.0,,2.0,50.0
VqXehjCiW9C,Saradidi Dispensary,2.0,Low/Moderate,,3.0,3.0,
NpKmhJBECVb,Saro Dispensary,14.0,Very High,1.0,10.0,11.0,9.090909090909092
vhGugNZUV3w,Savane Dispensary,4.0,Low/Moderate,,1.0,2.0,
XBVHcByduVe,Sayyida Fatimah Hospital,5.0,Low/Moderate,,6.0,7.0,
Q1YHVG2A0U1,Sega Dispensary,8.0,High,,9.0,9.0,
ntP34s4jDH5,Sega Mission Hospital,16.0,Very High,,20.0,22.0,
EwpG2Q4y05m,Segere Dispensary,3.0,Low/Moderate,,11.0,11.0,
XzlKeCEvztb,Sekenani Health Centre,5.0,Low/Moderate,,2.0,2.0,
tnPObrjA9RC,Sena Level 4 Hospital,3.0,Low/Moderate,,22.0,22.0,
Wm51OW03KAk,Sengani Health centre,10.0,High,,3.0,4.0,
TvQQht1n3MH,Serawongo Dispensary,7.0,High,,12.0,12.0,
oIfTa0e3Og0,Serem Health Centre,9.0,High,,8.0,10.0,
amRQYjheywd,Shalom Community Hospital,3.0,Low/Moderate,,3.0,3.0,
BRIBehwYmcd,Shamakhubu Health Centre,3.0,Low/Moderate,,2.0,3.0,
dU7dDBWWWDi,Shamata Health Centre,9.0,High,,4.0,4.0,
UNbhlHZjMF2,Shamberere Health Centre,8.0,High,,2.0,3.0,
d7xdgRnT1pE,Shianda Dispensary,9.0,High,,2.0,3.0,
PuVGCzBiYAp,Shibanze Dispensary,1.0,Low/Moderate,,6.0,6.0,
y1jWd1Ug7ts,Shibwe Sub-County Hospital,18.0,Very High,1.0,4.0,5.0,20.0
HqFDy2vEQz6,Shika Adabu (MCM) Dispensary,4.0,Low/Moderate,1.0,2.0,3.0,33.33333333333333
VymFeOiKKGv,Shikunga Health Centre,3.0,Low/Moderate,,,4.0,
nNM3ZA9ErqU,Shikusa Health Centre,7.0,High,1.0,,1.0,100.0
xFwky80rnjq,Shimo La Tewa Annex GK Prison Dispensary,11.0,High,,3.0,3.0,
gvaEWrl758j,Shimo-La Tewa Health Centre (GK Prison),29.0,Severe,,5.0,5.0,
el6wJ3PIq0h,Shining Hope for Communities Mathare Medical Clinic,7.0,High,,13.0,13.0,
kbg8aYUzgUM,Shinyalu Model Health Centre,10.0,High,,9.0,12.0,
agO9AbQPxH4,Shiraha Health Centre,1.0,Low/Moderate,,,1.0,
cF9orSjuiaV,Shirikisho Health Centre,12.0,Very High,,21.0,22.0,
HBsqa81tb5L,Shiru Health Centre,15.0,Very High,,9.0,9.0,
fB3xG06tgRu,Shisaba Dispensary,3.0,Low/Moderate,,3.0,5.0,
KzjIbQebF4W,Shiseso Health Centre,4.0,Low/Moderate,,1.0,1.0,
DN1DpNnTw3q,Shitsitswi Health Centre,2.0,Low/Moderate,,3.0,5.0,
c6oal13vwWU,Shivanga Health Centre,2.0,Low/Moderate,1.0,1.0,2.0,50.0
SQ7NgzUYOjt,SHOFCO Medical Clinic (Kibera),3.0,Low/Moderate,,4.0,4.0,
X6eQyywhuHF,Siala Kaduol,2.0,Low/Moderate,,3.0,3.0,
b3yukBxVi1J,Siaya County Referral Hospital,17.0,Very High,,38.0,40.0,
lVnCyawh28t,Siboti Model Health Centre,3.0,Low/Moderate,,1.0,1.0,
MxwFljO9mmy,Sibuoche Dispensary,5.0,Low/Moderate,,3.0,17.0,
UDjLzocKru9,Sifuyo Health centre,5.0,Low/Moderate,,5.0,5.0,
z4pEZ9GMUj7,Sigomere Sub County Hospital,17.0,Very High,,10.0,11.0,
eH1iSu1tL6t,Sigoti Health Centre,13.0,Very High,,5.0,5.0,
YLsrbfNIQuI,Sigowet Sub County Hospital,20.0,Severe,,6.0,6.0,
BvSVueanUP2,Sikalame Health Centre,6.0,High,,6.0,6.0,
fGgr17UV6Q6,Sikarira Health Centre,8.0,High,,1.0,1.0,
OjOnxCLQ1lM,Sikusi Dispensary,2.0,Low/Moderate,,1.0,1.0,
UmN02RNDmtB,Silanga (MSF Belgium) Dispensary,13.0,Very High,,15.0,15.0,
LeiEBPdQtoW,Silibwet Dispensary (Bomet),9.0,High,1.0,4.0,5.0,20.0
PoAHq41Wjsk,Silibwet Health Centre (Nyandarua West),1.0,Low/Moderate,,,1.0,
heqPEgGraSS,Simba Health Centre,6.0,High,,2.0,2.0,
uirOz9L34AZ,Simba Opepo Health Centre,6.0,High,,1.0,1.0,
R7ltdc1WXOJ,Simbi Health Centre,2.0,Low/Moderate,,6.0,7.0,
bsWJDHxiuNB,Simenya Health Centre,3.0,Low/Moderate,4.0,3.0,7.0,57.14285714285714
eDnVQzkzc3B,Sio Port Sub County Hospital,14.0,Very High,,9.0,12.0,
fFbd7D0gwb9,Siongiroi Health Centre,5.0,Low/Moderate,,1.0,3.0,
Gp3mDe3mSdO,Sipili Health Centre,3.0,Low/Moderate,,3.0,3.0,
uGrCgcX6xGk,Sirimba Dispensary,1.0,Low/Moderate,,1.0,2.0,
LM6YIpZduiU,Sirisia Sub County Hospital,4.0,Low/Moderate,,5.0,6.0,
DDiNOmleakD,Siruti Dispensary,3.0,Low/Moderate,,6.0,6.0,
MnFD3y1T1GX,Sisenye Dispensary,7.0,High,,1.0,2.0,
p6qxKcVn83Y,Sitatunga Dispensary,5.0,Low/Moderate,2.0,3.0,5.0,40.0
S42NaQ2x43j,Sogoo Health Centre,7.0,High,,3.0,3.0,
XMu4DpnN95t,Soin Sub County Hospital,4.0,Low/Moderate,,4.0,6.0,
Gk01HeIfjsg,Sondu sub county Hospital,7.0,High,,7.0,7.0,
sR008hvpu5e,Sony Medical Centre,6.0,High,,7.0,7.0,
zwV7ekHDAwe,Sori Lakeside Nursing and Maternity Home,5.0,Low/Moderate,,11.0,11.0,
YTqyEB3FYOe,Sosiot Health Centre,8.0,High,,8.0,9.0,
zvWQ5tdZfKO,Sotik Health Centre,11.0,High,,7.0,8.0,
fmLvEUsG5e5,Soweto Kayole Phc Health Centre,6.0,High,,8.0,10.0,
Gwo8OLfAeek,Soy Sambu Dispensary,2.0,Low/Moderate,,2.0,2.0,
ZLiupnhoyzT,Special Treatment Clinic,33.0,Severe,,7.0,7.0,
Dsv44iuGboK,St Akidiva Memorial Hospital,2.0,Low/Moderate,,2.0,4.0,
BNuAK6oLAp4,St Alice (EDARP) Dandora Clinic,20.0,Severe,,15.0,17.0,
PJESmU1NFjO,St Ann Hospital,3.0,Low/Moderate,,1.0,3.0,
F3baHs7ruQU,St Barbara Mosocho Health Centre,2.0,Low/Moderate,,2.0,2.0,
AYsyVI9BxYn,St Barkita Dispensary Utawala,5.0,Low/Moderate,,2.0,2.0,
DThwjc1ds5J,St Benedetto Health Centre,1.0,Low/Moderate,,,1.0,
UeRIwewVX7n,St Bridgit Kalemunyang Dispensary,1.0,Low/Moderate,,1.0,1.0,
JJHQ16uTrPX,St Camillus Mission Hospital,23.0,Severe,1.0,19.0,22.0,4.545454545454546
ymVyoLJ8yId,St Catherine Napetet Dispensary,7.0,High,,1.0,1.0,
gbGbqNrcrFv,St Catherine's Mission Ichuni,3.0,Low/Moderate,,4.0,4.0,
hCCacTXjCYp,St Charles Lwanga Dispensary,2.0,Low/Moderate,,3.0,5.0,
LhqVXAyAmeX,St Clare Bolo Health Centre,6.0,High,,7.0,8.0,
IKD1KqSlD7j,St Clare Medical Centre,2.0,Low/Moderate,,1.0,2.0,
ZKVebVoAh99,St Damiano Mission Hospital,12.0,Very High,,1.0,5.0,
tTAHvMCQVS1,St Elizabeth Chiga Health Centre,18.0,Very High,,28.0,28.0,
nXaMv9GOjWk,St Elizabeth Health Centre,1.0,Low/Moderate,,4.0,6.0,
PvuLFowO5Cs,St Elizabeth Lwak Mission Health Centre,16.0,Very High,1.0,10.0,13.0,7.6923076923076925
SeLYvjWGi5f,St Francis Community  Hospital,21.0,Severe,,6.0,6.0,
TLYxOpSwSUe,St Jairus Hospital,4.0,Low/Moderate,,2.0,2.0,
MCxYHCi7SKV,St Jane Nursing Home,4.0,Low/Moderate,,3.0,3.0,
HiYExi21bCp,St John Hospital,6.0,High,,2.0,3.0,
dQnlgfrAj7g,St Joseph (EDARP) Clinic,15.0,Very High,,11.0,12.0,
nI19Olg7c4G,St Joseph Hospital,4.0,Low/Moderate,,2.0,3.0,
Oa3osQS1OkN,St Joseph Mission Hospital,28.0,Severe,1.0,37.0,39.0,2.564102564102564
ZYF5HlmIFYp,St Joseph Mukasa Dispensary,7.0,High,,4.0,4.0,
K9f6OavyAsf,St Joseph W Dispensary (Westlands),10.0,High,,6.0,6.0,
AHM06z0QKsS,St Joseph's Health Centre (Dagoretti),7.0,High,,8.0,10.0,
yr1OdefeL3S,St Joseph's Obaga Dispensary,6.0,High,,2.0,2.0,
iV6KcqpZpNP,St Joseph's Shelter of Hope,4.0,Low/Moderate,,5.0,4.0,
Dpo1W5ZFOY0,St Lukes ( ACK) Nursing Home(Kaloleni),13.0,Very High,,13.0,14.0,
bX5nd5eRa7d,St Mark's Lela Health Centre,7.0,High,,10.0,10.0,
Y9ozzrFMnYy,St Mary Health Centre (Kiserian),3.0,Low/Moderate,,3.0,3.0,
Ohe5HjRN8PF,St Mary's Hospital (Gilgil),4.0,Low/Moderate,,3.0,3.0,
Ohx8SxDgCfo,St Mary's Hospital (Mumias),40.0,Severe,,13.0,17.0,
chXwFzmckgz,St Mary's Mission Hospital,18.0,Very High,,13.0,13.0,
tXopH4h3EtN,St Mary's Yala Dispensary,4.0,Low/Moderate,,1.0,1.0,
KH5TZ2Kiuld,St Mercelline Roo Health centre (Suba),5.0,Low/Moderate,,9.0,11.0,
yFn8SX1qQbG,St Monica Hospital,18.0,Very High,,6.0,20.0,
Cpr8bbDF973,St Monica Hospital (Town Clinic),8.0,High,,8.0,9.0,
Qv62ysRtBDq,St Monica Nakwamekwi Dispensary,11.0,High,1.0,5.0,8.0,12.5
gMhjxJKU9mM,St Monica Rapogi Hospital,15.0,Very High,1.0,25.0,27.0,3.7037037037037033
umZH5Ae9wN1,St Mulumba Mission Hospital,4.0,Low/Moderate,,5.0,5.0,
L3W78DWaVfN,St Patrick Health Care Centre,1.0,Low/Moderate,,1.0,1.0,
bPtuj3SUxZm,St Patrick Kanamkemer Dispensary,8.0,High,1.0,6.0,9.0,11.11111111111111
Xac1eOb2dTq,St Paul Dispensary,6.0,High,,10.0,11.0,
QDx1Cr19K3c,St Paul's Mission Hospital,10.0,High,,23.0,23.0,
COpiQeVtvEL,St Pius Musoli Health Centre,13.0,Very High,1.0,3.0,4.0,25.0
yE0YJfPxCUc,St Raphael's Clinic,9.0,High,,2.0,2.0,
nGyonUvdpOm,St Theresa Hospital (Kiirua),12.0,Very High,,5.0,10.0,
zm8SMP2MmKm,St Therese Dispensary,6.0,High,,4.0,6.0,
jNY1DdzbBDr,St Veronica EDARP Clinic,4.0,Low/Moderate,1.0,11.0,14.0,7.142857142857142
dEPpmoSHG1v,St Vincent Catholic Clinic,14.0,Very High,,6.0,10.0,
OaoMmCrvSNm,St Vincents De Paul Health Centre,10.0,High,,7.0,9.0,
MsF0OYgs0ut,St. Monica Eregi Mission Health Centre,2.0,Low/Moderate,,1.0,1.0,
nmHHcE1kOsS,St. Peters Clever Health Centre,8.0,High,,4.0,4.0,
fUwtOHR3iUn,St.Mary's Ringa Health Centre,6.0,High,,7.0,7.0,
LqjMvQa9FEg,St.Raphael Dispensary (Matisi),12.0,Very High,,1.0,3.0,
yY09wUgxTvI,St.Scholastica Uzima Hospital,10.0,High,,6.0,6.0,
zkY1vTT6ZhX,Star Maternity & Nursing Home,2.0,Low/Moderate,,4.0,4.0,
bKNoJXJZYXg,State House Dispensary (Mombasa),1.0,Low/Moderate,,1.0,1.0,
rLTST5T975t,Suba North Sub-County Hospital,19.0,Severe,,29.0,33.0,
bPtrtamWTmT,Suba Sub County Hospital,14.0,Very High,,30.0,30.0,
v0GRG4yvnRW,Subukia Sub County Hospital,10.0,High,1.0,6.0,9.0,11.11111111111111
Cl76IbPa084,Suguta Health Centre,2.0,Low/Moderate,,5.0,5.0,
t75KnRpIucJ,Sultan Hamud Sub County Hospital,21.0,Severe,,12.0,14.0,
r7hNHZYd4pj,Sumba Community Dispensary,3.0,Low/Moderate,,5.0,5.0,
xKOxyxxlXk1,Suna Nursing and Maternity Home,3.0,Low/Moderate,,4.0,4.0,
hcF52HKSsCR,Suna Rabuor Dispensary,6.0,High,,7.0,7.0,
Sepsy4Bb35C,Suna Ragana Dispensary,13.0,Very High,1.0,12.0,15.0,6.666666666666667
XgCDq1zkmPu,Sunga Dispensary,4.0,Low/Moderate,,2.0,2.0,
NxWEAdV6b7a,Suwerwa Health Centre,2.0,Low/Moderate,,4.0,4.0,
Pz39ORJFqm7,Swindon St Elizabeth Clinic,2.0,Low/Moderate,,8.0,8.0,
erge4sMabaa,Tabaka Mission Hospital,14.0,Very High,,13.0,15.0,
B7uMXQhtT6l,Tabitha Medical Clinic,23.0,Severe,,7.0,9.0,
a4s2wKfJc30,Takaungu Dispensary,2.0,Low/Moderate,,,3.0,
QFr0QG0e4r6,Takawiri Health Centre,1.0,Low/Moderate,,1.0,1.0,
ZZNxSbbRSpF,Takitech Dispensary,1.0,Low/Moderate,,5.0,5.0,
Jp842VS9qqy,Tala Health Centre,1.0,Low/Moderate,,4.0,4.0,
AXYL3o00Lq2,Tambach Sub-County Hospital,2.0,Low/Moderate,,1.0,1.0,
PENvTx4fphA,Tamu Health Centre,2.0,Low/Moderate,,,2.0,
yLBn5USmgz1,Tanaka Nursing Home,6.0,High,,13.0,13.0,
qThsoxvdyh3,Tarakwa Health centre,5.0,Low/Moderate,1.0,,1.0,100.0
hVc9GNgGPYF,Taru Dispensary,1.0,Low/Moderate,,4.0,4.0,
xlKQSUOfy0y,Taveta Sub County Hospital,12.0,Very High,,6.0,7.0,
oDO5QS3lXAv,Tawa Sub-County Hospial,12.0,Very High,,7.0,7.0,
Wcgkpv2BHcy,Tawfiq Muslim Hospital,6.0,High,,3.0,3.0,
YYQm99dJJ7X,Teso North Sub County Hospital,36.0,Severe,,11.0,13.0,
CZvhXoH6bT8,The Hope Medical Centre-Awasi,3.0,Low/Moderate,,1.0,1.0,
mVjvQPVEjR6,The Mater Misericordiae Hospital (Mukuru),21.0,Severe,,32.0,32.0,
rW142rztOPK,Thiba Health Centre,3.0,Low/Moderate,,5.0,5.0,
KFaSkuOoYYU,Thika Level 5 Hospital,56.0,Critical,,27.0,32.0,
sJHMc412zV6,Thim Lich Dispensary,5.0,Low/Moderate,,4.0,4.0,
X1oLiwDSw9V,Thinu Health Centre,2.0,Low/Moderate,,1.0,1.0,
x8dwth6BYiK,Tigoi Health Centre,5.0,Low/Moderate,,2.0,2.0,
jyOgldxx4Ok,Tigoni Level 4 Hospital,19.0,Severe,,7.0,8.0,
d0imj0dhHw1,Timau Sub-County Hospital,6.0,High,,1.0,1.0,
qST1ERiAwNm,Timboni Community Dispensary,14.0,Very High,,3.0,4.0,
kuzvgtX2kyS,Ting'wangi Health Centre,9.0,High,,11.0,13.0,
tU8NI8ktS8x,Tinga Health Centre,8.0,High,,2.0,2.0,
dLWshrUrHts,Tinganga Catholic Dispensary,10.0,High,,5.0,5.0,
n8Ox0LYd7Di,Tingare Health Centre,2.0,Low/Moderate,,4.0,4.0,
LFBf0WwBzaX,Tisinye Health Centre,1.0,Low/Moderate,,3.0,3.0,
gEvZgtrunJY,Tiwi RHTC,3.0,Low/Moderate,,2.0,4.0,
iUpiwFY2vI7,Tom Mboya Dispensary,26.0,Severe,1.0,2.0,5.0,20.0
COhi5Nktve9,Tom Mboya Memorial Level 4 Hospital,3.0,Low/Moderate,,3.0,5.0,
exNcDMt9Cjs,Tongaren Model Health Centre,6.0,High,1.0,1.0,2.0,50.0
XNC30RIDLbz,Tononoka Ap Dispensary (Tononoka),2.0,Low/Moderate,,3.0,4.0,
MkgvUQue97g,Transmara West Sub County Hospital,12.0,Very High,,10.0,10.0,
fBY4PYGFVBq,Tseikuru Sub County Hospital,4.0,Low/Moderate,,2.0,2.0,
QXYRGaSfPBL,Tudor District Hospital (Mombasa),18.0,Very High,1.0,6.0,12.0,8.333333333333332
R7cVUaPd35q,Tulwet Health Centre,2.0,Low/Moderate,,1.0,2.0,
eQ411WldmOy,Tumutumu (PCEA) Hospital,2.0,Low/Moderate,,8.0,9.0,
eDZupn6owH8,Tunyai Health centre,6.0,High,,1.0,1.0,
jbufYjWV5II,Turkwel Health Centre (Loima),3.0,Low/Moderate,,1.0,1.0,
weyCAoCYvTj,Ugina Health Centre,4.0,Low/Moderate,,3.0,3.0,
TftBThfkPx8,Uhembo Dispensary,3.0,Low/Moderate,,1.0,1.0,
TXGyS25PjDj,Uhuyi Dispensary,6.0,High,,4.0,4.0,
izw2qiqKFYI,Ukwala Sub County Hospital,15.0,Very High,,32.0,32.0,
i7fRWb47rxA,Ulungo Dispensary,3.0,Low/Moderate,,3.0,3.0,
JR47sh98qKk,Uluthe Dispensary,4.0,Low/Moderate,,3.0,5.0,
adrt3yquw88,Umer Dispensary,4.0,Low/Moderate,,8.0,8.0,
zGAtALrJYYg,Umoja Health Centre,13.0,Very High,,16.0,16.0,
QEnV6142tKT,Unga Health Center,3.0,Low/Moderate,,4.0,4.0,
ER9BOdawZcT,Uradi Health Centre,5.0,Low/Moderate,,8.0,10.0,
mGga9qtmJEk,Urenga Health Centre,4.0,Low/Moderate,,7.0,7.0,
eNAWFykGp3w,Uriri Sub County Hospital,21.0,Severe,,25.0,26.0,
QqzDmPTu1tk,Usao Health Centre,6.0,High,,5.0,5.0,
U0QSt0gU4Am,Usenge Dispensary,7.0,High,,6.0,6.0,
fWva3QHl9PM,Ushirika Medical Clinic,10.0,High,,3.0,1.0,
Iya3kdsvW1A,Usigu Health Centre,5.0,Low/Moderate,,17.0,17.0,
Aor4slMUZ22,Uthiru Health Centre,8.0,High,,8.0,9.0,
I5TrVHHQiTO,Uwanja Wa ndege Dispensary,1.0,Low/Moderate,,1.0,1.0,
pdEPFrsSUIf,Uyawi Sub County Hospital,12.0,Very High,,25.0,25.0,
CFOmFTRmpEp,Vanga Health Centre,3.0,Low/Moderate,,3.0,3.0,
cd2oXY1uQan,Verna Health Centre,34.0,Severe,,17.0,17.0,
mfkFWNnJ5AP,Vigetse Medical Clinic,6.0,High,1.0,2.0,3.0,33.33333333333333
