periodid,periodname,periodcode,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Total Positive (Add HV02-10 - HV02-14) HV02-15,MOH 731 15-24 (F) HV01-47,MOH 731 15-24 (M) HV01-46,MOH 731 25+ (F) HV01-49,MOH 731 25+ (M) HV01-48,MOH 731 Known Exposure_at Penta 1 HV02-37,MOH 731 Known Positive at 1st ANC HV02-03,MOH 731 Mother-baby pairs_24mths HV02-51,MOH 731 On ART_10-14 (F) HV03-031,MOH 731 On ART_10-14(M) HV03-030,MOH 731 On ART_15-19 (F) HV03-033,MOH 731 On ART_15-19(M) HV03-032,MOH 731 On ART_20-24 (F) HV03-035,MOH 731 On ART_20-24(M) HV03-034,MOH 731 On ART_25+ (F) HV03-037,MOH 731 On ART_25+(M) HV03-036,MOH 731 Presumed TB_Total HV03-058,MOH 731 Screen for TB _1-9 HV03-052,MOH 731 Screen for TB _10-14 HV03-053,MOH 731 Screen for TB _15-19 HV03-054,MOH 731 Screen for TB _20-24 HV03-055,MOH 731 Screen for TB _25+ HV03-056,MOH 731 Screen for TB_Total HV03-057,MOH 731 Screen for TB_<1 HV03-051,MOH 731 Screen CaCx_New F18+ HV03-087,MOH 731 Start ART_10-14 (F) HV03-019,MOH 731 Start ART_10-14(M) HV03-018,MOH 731 Start ART_15-19 (F) HV03-021,MOH 731 Start ART_15-19(M) HV03-020,MOH 731 Start ART_20-24 (F) HV03-023,MOH 731 Start ART_20-24(M) HV03-022,MOH 731 Start ART_25+ (F) HV03-025,MOH 731 Start ART_25+(M) HV03-024
2020,2020,2020,cooDDG3Lh3A,Bobasi Sub County,KE_SubCounty_3058,,160.0,404.0,395.0,509.0,662.0,2288.0,103.0,84.0,713.0,544.0,780.0,431.0,1820.0,281.0,23201.0,9026.0,104.0,972.0,1257.0,1205.0,2092.0,32178.0,37713.0,9.0,443.0,1.0,2.0,14.0,3.0,43.0,11.0,175.0,102.0
2020,2020,2020,ntRK47D5dYL,Bomachoge Borabu Sub County,KE_SubCounty_3059,,114.0,151.0,135.0,421.0,241.0,1245.0,71.0,71.0,588.0,439.0,837.0,358.0,1704.0,424.0,17557.0,6470.0,246.0,832.0,926.0,1148.0,2034.0,22140.0,27102.0,23.0,2480.0,1.0,2.0,26.0,2.0,48.0,6.0,143.0,81.0
2020,2020,2020,YqYSkwmOtiR,Bomachoge Chache Sub County,KE_SubCounty_3057,,98.0,312.0,184.0,621.0,376.0,1987.0,72.0,73.0,541.0,452.0,683.0,365.0,1939.0,317.0,19120.0,7314.0,214.0,836.0,977.0,1053.0,2225.0,25966.0,31071.0,14.0,1709.0,2.0,0.0,15.0,1.0,53.0,9.0,130.0,65.0
2020,2020,2020,m9gdonbVXjZ,Bomet Central Sub County,KE_SubCounty_2960,,144.0,0.0,0.0,3.0,3.0,128.0,107.0,48.0,574.0,588.0,874.0,605.0,1412.0,559.0,21550.0,10698.0,124.0,721.0,673.0,890.0,1310.0,15973.0,19758.0,189.0,19.0,2.0,1.0,12.0,2.0,27.0,9.0,151.0,74.0
2020,2020,2020,HMNARUV2CW4,Bomet County,KE_County_36,,558.0,576.0,486.0,531.0,633.0,309.0,352.0,230.0,2139.0,1907.0,2508.0,1769.0,4832.0,1304.0,72864.0,33581.0,841.0,3425.0,3069.0,3225.0,4948.0,76184.0,90927.0,291.0,136.0,9.0,5.0,34.0,3.0,101.0,18.0,478.0,286.0
2020,2020,2020,OZNRpww2TUK,Bomet East Sub County,KE_SubCounty_2961,,112.0,400.0,342.0,264.0,310.0,33.0,60.0,25.0,574.0,438.0,606.0,487.0,1073.0,276.0,16808.0,7698.0,29.0,741.0,850.0,944.0,1130.0,20294.0,23750.0,19.0,10.0,1.0,0.0,11.0,0.0,24.0,2.0,96.0,58.0
2020,2020,2020,zCCIu1Vi3Wh,Bonchari Sub County,KE_SubCounty_3061,,123.0,186.0,147.0,127.0,86.0,1174.0,73.0,77.0,689.0,427.0,748.0,441.0,2063.0,296.0,18405.0,7318.0,144.0,1025.0,1073.0,1170.0,2309.0,25074.0,30599.0,60.0,666.0,3.0,0.0,22.0,1.0,42.0,6.0,162.0,87.0
2020,2020,2020,JNvqpOnKfGR,Bondo Sub County,KE_SubCounty_3201,,1114.0,495.0,355.0,792.0,1032.0,930.0,917.0,898.0,4669.0,3557.0,3512.0,2455.0,9739.0,1777.0,127231.0,69008.0,1360.0,7210.0,8197.0,5980.0,11504.0,195980.0,229031.0,161.0,14359.0,12.0,6.0,46.0,4.0,234.0,25.0,726.0,531.0
2020,2020,2020,ABuzigW8Lzw,Borabu Sub County,KE_SubCounty_3179,,69.0,102.0,110.0,212.0,317.0,428.0,39.0,22.0,375.0,324.0,409.0,330.0,900.0,159.0,13881.0,6140.0,63.0,727.0,676.0,710.0,1003.0,19321.0,22470.0,42.0,1160.0,3.0,0.0,12.0,2.0,44.0,4.0,189.0,123.0
2020,2020,2020,jkQZEow83MX,Bumula Sub County,KE_SubCounty_2969,,170.0,86.0,95.0,142.0,247.0,2864.0,106.0,51.0,352.0,350.0,420.0,157.0,922.0,169.0,13562.0,4526.0,112.0,893.0,682.0,555.0,1063.0,17518.0,20727.0,16.0,71.0,4.0,3.0,16.0,2.0,40.0,4.0,172.0,80.0
2020,2020,2020,KGHhQ5GLd4k,Bungoma County,KE_County_39,,1527.0,1276.0,1066.0,2224.0,2714.0,30529.0,909.0,817.0,5409.0,5483.0,5746.0,4170.0,10200.0,2947.0,188537.0,70552.0,1303.0,8462.0,10140.0,8883.0,12155.0,230017.0,269875.0,212.0,3734.0,29.0,9.0,108.0,20.0,355.0,41.0,1918.0,886.0
