organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Positive Results _L&D HV02-12,MOH 731 Positive Results_ANC HV02-11,MOH 731 Positive Results_PNC<=6wks HV02-13,MOH 731 Positive_Total (Sum HV01-18 to HV01-25) HV01-26,burden_category
L9EJeHLBG1b,Amukura Health Centre,15798,Situated at Amukura market along Nambale-Malaba road about 0.5KM from Amukura junction,0.0,3.0,0.0,14.0,Very High
zVNsz4bH1Yw,Amukura Mission Health Centre,15799,"Situated along Amukura-Malaba road,next to St.Mary's Girls High School",0.0,1.0,0.0,3.0,Low/Moderate
ps5w3QhjIM7,Amurt Health Centre,12870,,0.0,1.0,0.0,12.0,Very High
c5gNJhUz9rg,Andersen Medical Centre,14203,,0.0,0.0,0.0,4.0,Low/Moderate
lfs5qignpT4,Anding'o Opanga Dispensary,13477,,0.0,0.0,0.0,2.0,Low/Moderate
ZjLUO5whjGS,Aneko Dispensary,13478,,0.0,0.0,0.0,2.0,Low/Moderate
m7VVNB6yflG,Ang'iya Health Centre,13479,,0.0,0.0,0.0,1.0,Low/Moderate
dWATcMI6XJL,Angaga Dispensary,17050,,0.0,1.0,0.0,3.0,Low/Moderate
VRRLwQpnKfY,Angata Health Centre,14205,,0.0,1.0,0.0,5.0,Low/Moderate
x0kcyZYsS7A,Angogo dispensary,22975,,0.0,0.0,0.0,2.0,Low/Moderate
LdOHCxKsiqK,Angola Health Centre,21236,Health Centre,0.0,0.0,0.0,1.0,Low/Moderate
allzILkIelH,Angurai Sub County Hospital,15800,,0.0,1.0,0.0,4.0,Low/Moderate
xaQ9Z2jrxRM,Anjego Dispensary,13480,located in suba East division and its a GOK facility,0.0,0.0,0.0,1.0,Low/Moderate
D1pdFGebAX1,Anmer Dispensary,10029,,0.0,0.0,0.0,2.0,Low/Moderate
ETYKLHaZtuG,Annex Hospital (Nakuru),14207,,0.0,1.0,0.0,4.0,Low/Moderate
TNNJbLh7DvS,Annex loc.Medical clinic,22002,,0.0,0.0,0.0,1.0,Low/Moderate
L5rmXQQWAGD,Antubetwe Njoune Dispensary,17068,,0.0,0.0,0.0,1.0,Low/Moderate
Tkgo1tPTOv2,Anyuongi Dispensary,13482,level 2 gok facility,0.0,0.0,0.0,4.0,Low/Moderate
zTjUwJx8Mw0,Anza Mapema Clinic,21220,Drop in center for Key Population,0.0,0.0,0.0,1.0,Low/Moderate
tiPqSd926H4,AP Kanyonyoo Dispensary,20425,,0.0,0.0,0.0,3.0,Low/Moderate
tmOunpxPDt9,AP Line Dispensary,15801,,0.0,2.0,0.0,17.0,Very High
ejtS57P74B6,Appex Hospital,21136,"situated along bungoma malaba road opposite KCB
in Malaba town of Teso north subcounty busia county",0.0,0.0,0.0,1.0,Low/Moderate
wP6cPKxmPwl,Approved Dispensary,15804,,0.0,3.0,1.0,10.0,High
yjdx3bVwjJP,Approved School Dispensary (Machakos),11932,,0.0,0.0,0.0,3.0,Low/Moderate
eGSDTRaBYvN,Aptc Health Centre,12871,,0.0,0.0,0.0,11.0,High
Ssbkr9jzWWk,Archers Post Catholic Health Centre,14212,,0.0,0.0,0.0,1.0,Low/Moderate
RMbgDUBLgFM,Archers Post Sub-County Hospital,24233,,0.0,0.0,0.0,1.0,Low/Moderate
kOFBpSMhe9h,Arito Langi Health Centre,13484,,0.0,1.0,0.0,4.0,Low/Moderate
QiXeOXMmlX0,Arombe Dispensary,13486,Alocated in Suba West Division and its a GOK  facility.,0.0,1.0,1.0,19.0,Severe
uxV4eRadYaX,Arombe Medical Centre,28500,,0.0,0.0,0.0,3.0,Low/Moderate
Ygb7V9pnRo6,Aruba Dispensary,22594,,0.0,0.0,0.0,2.0,Low/Moderate
GiQGODA5NZB,Asat Beach Dispensary,13487,,0.0,0.0,0.0,4.0,Low/Moderate
uYsMyJiKEjP,Asayi Dispensary,16783,,0.0,1.0,0.0,9.0,High
GqpnFjeQXTM,Ashburn Ohuru Nursing Home,17524,,0.0,0.0,0.0,1.0,Low/Moderate
EqHuyV3yh0M,ASN Upendo Village Dispensary,15762,,0.0,0.0,0.0,1.0,Low/Moderate
wA8Ioia7gEP,Assumption of Mary Health Centre,10040,,0.0,0.0,0.0,3.0,Low/Moderate
FPGtNGfdSlZ,Asumbi Mission Hospital,13488,,0.0,2.0,0.0,15.0,Very High
mubdg2NphtL,Atela Health Centre,18610,,0.0,1.0,0.0,5.0,Low/Moderate
bxtsV3tmxZi,Atemo Health Centre,13489,,0.0,0.0,0.0,3.0,Low/Moderate
u8TCfCqeQpJ,Athi Kamunyuni Health Centre,11934,"At Athi Kamunyuni Shopping Centre, 25 km east of Kambu Town, through Daranjani Railway Station",0.0,1.0,0.0,4.0,Low/Moderate
rtOVeE98u6G,Athi River Medical Services,11937,,0.0,1.0,0.0,3.0,Low/Moderate
wP62wKmuZjz,Athichem Modern Medical Centre,25802,,0.0,0.0,0.0,1.0,Low/Moderate
t6mwHRbgVVb,Avenue Hospital Kisumu,20123,,0.0,1.0,0.0,4.0,Low/Moderate
ISsRMwepdm7,Awasi Mission Health Center,13491,Health center,0.0,1.0,0.0,10.0,High
ZBtoRProc6e,Awendo Sub County Hospital,13492,,0.0,2.0,0.0,18.0,Very High
SptPbIhiRqV,Ayucha Health Centre,26516,,0.0,0.0,0.0,2.0,Low/Moderate
CXAJP0JoCDZ,Baari Health Centre,10043,,0.0,0.0,0.0,5.0,Low/Moderate
CzGqegvtcf5,Babadogo (EDARP),12875,,0.0,3.0,0.0,23.0,Severe
obSn4iRC7wn,Babadogo Health Centre,12876,,0.0,5.0,0.0,20.0,Severe
cCdKtQlL8El,Bacasavi Medical Centre,22343,,0.0,0.0,0.0,1.0,Low/Moderate
X7szCNmxLXn,Bahai Dispensary,17190,,0.0,1.0,0.0,1.0,Low/Moderate
cQa0PvCvbxM,Bahati District Hospital,14224,,0.0,1.0,0.0,19.0,Severe
emnI9dqORPt,Bahati Hospital,12879,,1.0,5.0,0.0,20.0,Severe
pfwB2vUsn3e,Bahati Hospital - Tala,26188,,0.0,0.0,0.0,3.0,Low/Moderate
ov8IEjpIk1j,Bahati Hospital(Joska),21204,Situated along Nairobi - Kangundo Road at Joska Market,0.0,0.0,0.0,2.0,Low/Moderate
ufQ6CGUyiTo,Bahati MDR Dispensary,12878,,0.0,0.0,0.0,3.0,Low/Moderate
hHFDDKwv5UN,Bahati Rural Health Centre,14223,,0.0,0.0,0.0,2.0,Low/Moderate
Vq3RfgqSNuL,Bakari Medical Clinic,23231,,0.0,0.0,0.0,1.0,Low/Moderate
zguJ8J2gx2C,Balich Dispensary,13299,,0.0,0.0,0.0,20.0,Severe
kZP86ulsOJr,Bama Hospital,13493,,0.0,2.0,0.0,10.0,High
UvWDhQlknid,Bamba Sub County Hospital,11237,,0.0,0.0,0.0,1.0,Low/Moderate
IKdUHYliWr5,Bamboo Health Centre,10044,,0.0,3.0,0.0,18.0,Very High
dO93Ue6OwRr,Bamburi Dispensary,11239,,0.0,6.0,0.0,21.0,Severe
hLMDMOsAv6Y,Bande Dispensary,13494,,0.0,1.0,0.0,2.0,Low/Moderate
D42FRdqN4Jy,Bangali Dispensary,11242,Dispensary,0.0,0.0,0.0,2.0,Low/Moderate
wPX0yiOC6WV,Banita Dispensary,14226,,0.0,2.0,0.0,3.0,Low/Moderate
oYc9S0YvbLH,Banja Health Centre,15805,,0.0,0.0,0.0,6.0,High
RrxywQuOoio,Baolala Dispensary,11244,,1.0,0.0,0.0,2.0,Low/Moderate
DqwooToZ1N9,Bar Achuth Dispensary,13495,,0.0,1.0,0.0,5.0,Low/Moderate
gFFdF6hGiFe,Bar Agulu Dispensary,13496,,0.0,0.0,0.0,2.0,Low/Moderate
yonouRgu7l7,Bar Aluru Dispensary (Rarieda),13497,,0.0,2.0,0.0,7.0,High
DrkmmYfcr91,Bar Hostess Empowerment Support Program (Roysambu),23200,Situated off Thika Superhighway along Kamiti Rd-Roysambu,0.0,0.0,0.0,22.0,Severe
lq9mb305HDu,Bar Korwa Health Centre,13498,,0.0,0.0,0.0,6.0,High
bhfD7RGs2gk,Bar Ndege Dispensary,16784,,0.0,0.0,0.0,4.0,Low/Moderate
sK3DDy5tVCy,Bar Olengo Dispensary,13499,,0.0,1.0,0.0,5.0,Low/Moderate
ZL7FkyG3uwc,Bar Sauri Health Centre,16785,,0.0,0.0,0.0,5.0,Low/Moderate
wZUrNTrCEWz,Baragu Health Centre,11942,NEAR KATHARAKA STAGE,0.0,0.0,0.0,5.0,Low/Moderate
tBD7EcDrqR8,Baraka Dispensary (Nairobi),12881,,0.0,0.0,0.0,59.0,Critical
