organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Positive Results _L&D HV02-12,MOH 731 Positive Results_ANC HV02-11,MOH 731 Positive Results_PNC<=6wks HV02-13,MOH 731 Positive_Total (Sum HV01-18 to HV01-25) HV01-26,burden_category
AHVXluh93vZ,Hope Compassionate (ACK) Dispensary,16983,,0.0,0.0,0.0,1.0,Low/Moderate
yr59UIkXiZ8,Hope world wide savannah,27527,,0.0,0.0,0.0,1.0,Low/Moderate
Q4d8psx1iAH,House of Hope Medical Centre,18720,Near Atoyieng'o River,0.0,0.0,0.0,1.0,Low/Moderate
qOMMbIs7KOd,Hoymas VCT (Nairobi),20063,,0.0,0.0,0.0,18.0,Very High
S1Uc7ezgbo8,Huruma Dispensary,14552,,0.0,1.0,0.0,4.0,Low/Moderate
ujApuVtZafA,Huruma Hospital - Mathare North Annex,23855,,0.0,0.0,0.0,1.0,Low/Moderate
m0NMs35zjQP,Huruma Lions Health Centre,12974,Operational,0.0,4.0,0.0,34.0,Severe
eu57gimZRDs,Huruma Nursing Home and Maternity,12976,,0.0,0.0,0.0,2.0,Low/Moderate
ZVjBzM0mybV,HWWK Maua Dice,24622,Stand alone facility,0.0,0.0,0.0,3.0,Low/Moderate
F5HtXiaPY8b,Ibeno Sub County Hospital,13612,,0.0,0.0,0.0,1.0,Low/Moderate
rQH3dts2vpx,Ibinda Dispensary,29604,,0.0,0.0,0.0,1.0,Low/Moderate
Px9lcrdOOO6,ICFM Dreamland Mission Hospital,15864,,0.0,1.0,0.0,3.0,Low/Moderate
F3k9ivnAAx0,Ichamara Dispensary,10333,,0.0,1.0,0.0,1.0,Low/Moderate
bDD3hKTHmvn,Ichinga Dispensary,25498,,0.0,0.0,0.0,2.0,Low/Moderate
rWIwO9kmzvi,ICRH Drop In Centre (Kilifi),22479,,0.0,0.0,0.0,2.0,Low/Moderate
BNvAE7jm6Gz,Ifo 1 Hospital,13368,,0.0,1.0,0.0,1.0,Low/Moderate
tePBgYiNwml,Iftin Sub-District Hospital,13369,,0.0,1.0,0.0,3.0,Low/Moderate
hgYuumviWXp,Igara Dispensary,15897,,0.0,0.0,0.0,1.0,Low/Moderate
hpI6fI0SMxI,Igare Medical Clinic,13613,,0.0,0.0,0.0,3.0,Low/Moderate
I0kQUozVjhZ,Igegania Level 4 Hospital,10338,,0.0,0.0,0.0,6.0,High
nQpfownNCBk,Igena-Itambe Dispensary,13614,,0.0,0.0,0.0,1.0,Low/Moderate
kJce0j3VFbC,Igorera Medical Clinic,18340,,0.0,0.0,0.0,3.0,Low/Moderate
WVQA3Ztjy6t,Iguhu Sub County Hospital,15899,,0.0,3.0,0.0,15.0,Very High
WA1XAQBGdMl,Igula Dispensary,26002,,0.0,0.0,1.0,1.0,Low/Moderate
xAifqlbWacG,Ihuririo Dispensary,10339,,0.0,0.0,0.0,2.0,Low/Moderate
gPrQghXBO2T,Ihururu Treatment and Rehabilitation Hospital,10340,,0.0,1.0,0.0,1.0,Low/Moderate
avutvajUfrS,Iiani/Kiatineni Dispensary,12074,,0.0,2.0,0.0,2.0,Low/Moderate
AVvOzhk3GCR,Iimbani Dispensary,20723,On the Iveti hills,0.0,0.0,0.0,1.0,Low/Moderate
mWsUykmIyLF,Ikalaasa Dispensary,16649,,0.0,0.0,0.0,1.0,Low/Moderate
uBIn3KIzOjH,Ikanga Sub county Hospital,12077,,1.0,1.0,0.0,6.0,High
CcqUTkPPwPs,Ikarango Dispensary,28622,,0.0,0.0,0.0,1.0,Low/Moderate
vq7jv4emC3f,Ikhanyi Dispensary,20921,Dispensary,0.0,0.0,0.0,3.0,Low/Moderate
w6Y5qDucxn0,Ikobe Health Centre,13616,,0.0,0.0,0.0,2.0,Low/Moderate
eDnqMm7SRAg,Ikombe Health Centre,12078,,0.0,0.0,0.0,4.0,Low/Moderate
WRugAsHxL6F,Ikomero Health Centre,19900,,0.0,1.0,0.0,1.0,Low/Moderate
kTrvZAjAcnU,Ikonge Dispensary,13617,,0.0,0.0,0.0,3.0,Low/Moderate
PotVOfmjlUJ,Ikonzo Model Health Centre,17165,,0.0,1.0,0.0,4.0,Low/Moderate
pWL0jklERtl,Ikorongo Dispensary,22629,,0.0,0.0,0.0,2.0,Low/Moderate
Y9rLWFzWrme,Ikumbi Health Centre,14559,,0.0,2.0,0.0,6.0,High
I3Z2QMRd8GN,Ikutha Sub County Hospital,12080,,0.0,1.0,0.0,13.0,Very High
YpQvKW6YdnH,Ikuyuni Dispensary,12082,,0.0,0.0,0.0,2.0,Low/Moderate
FkiRDv9jRrl,Ikuywa Dispensary,16717,,0.0,1.0,0.0,2.0,Low/Moderate
EW3GKMMgsve,Ilaiser Dispensary,14562,,0.0,0.0,0.0,3.0,Low/Moderate
ZQsMimOSlOo,Ilatu Health Centre (Makindu),19976,,0.0,0.0,1.0,2.0,Low/Moderate
d4U4gk3e0uD,Ileho Health Centre,15900,,3.0,1.0,1.0,5.0,Low/Moderate
b5rfoG0NlRz,Ilkerin Dispensary (Trans Mara),14564,,0.0,1.0,0.0,0.0,Low/Moderate
blB2VhYzWHu,Ilkiremisho Dispensary,17750,,0.0,0.0,0.0,1.0,Low/Moderate
AW9zmG5PLRL,Illasit Health Centre,20372,,0.0,1.0,0.0,2.0,Low/Moderate
d6yR5ctjhLn,Illasit Medical Clinic,14567,,0.0,0.0,0.0,2.0,Low/Moderate
ALISP5DsvzD,Illeret Health Centre,12087,,0.0,0.0,0.0,2.0,Low/Moderate
ZpqfEaI6Hds,Iloirero Dispensary,21321,,0.0,0.0,0.0,1.0,Low/Moderate
x4l8N04bnYR,Ilparakuo dispensary,19724,dispensary,0.0,1.0,0.0,0.0,Low/Moderate
ZWaly1q0aqs,Imalaba Dispensary,16484,,0.0,0.0,0.0,1.0,Low/Moderate
UV4fccuhV0R,Imanga Health Centre,18941,,0.0,0.0,0.0,2.0,Low/Moderate
AK9cKdDDdR9,Imani Medical Services,17885,,0.0,0.0,0.0,2.0,Low/Moderate
pM6L7uFojJG,Imara Health Centre,17685,Near Aa Mukuru,0.0,0.0,0.0,2.0,Low/Moderate
dhheRNM2wPc,Imara Hospital Embu (Rwika),30023,,0.0,0.0,0.0,1.0,Low/Moderate
q0aWL84EmLj,Imara Mediplus Centre,21291,,0.0,0.0,0.0,1.0,Low/Moderate
CHV0rH9hpGA,Imbirikani Sub county Hospital,19108,,0.0,0.0,0.0,1.0,Low/Moderate
yx40eoay4oE,Imenti North Dice (Meru),19879,Medical Clinic,0.0,0.0,0.0,4.0,Low/Moderate
TqbJEX1FuGA,Immurtot Health Centre,14573,,0.0,0.0,0.0,2.0,Low/Moderate
h8gciTrB04j,Impact Health Care,20839,,0.0,0.0,0.0,1.0,Low/Moderate
oAXtRPjvnSF,Impact Health Care Annex,25111,Medical Centre,0.0,0.0,0.0,1.0,Low/Moderate
Y1nCWbiynS7,Impact Healthcare Services,16663,,0.0,0.0,0.0,1.0,Low/Moderate
cmfY1i2ewy1,Impiron Dispensary,28398,,0.0,0.0,0.0,1.0,Low/Moderate
rVLDPAPrFsC,Imulama Dispensary,16481,,0.0,0.0,0.0,1.0,Low/Moderate
FqsoLjbSI9A,Indangalasia Dispensary,17929,,0.0,0.0,0.0,3.0,Low/Moderate
d01gae2jWRL,Industrial Area Dispensary,14575,,0.0,2.0,0.0,4.0,Low/Moderate
zsxnutlIuk9,Infant Jesus Kalimoni Mission Hospital,30445,,0.0,0.0,0.0,2.0,Low/Moderate
YNcCVkkuWim,Ingolomosio Dispensary,21891,,0.0,0.0,0.0,1.0,Low/Moderate
YSPee8KLHhq,Ingotse Dispensary,15902,,0.0,0.0,0.0,7.0,High
AZeKGNUGiED,Inkariak Ronkena Dispensary,22605,,0.0,0.0,0.0,15.0,Very High
mkNBcYMAbpp,Inkoirienito Dispensary,16329,,0.0,0.0,0.0,1.0,Low/Moderate
IJsvzmOlTiR,Integrated Development Fund (Idf) VCT,17585,,0.0,0.0,0.0,2.0,Low/Moderate
NJ9UDodbyoQ,Inuka Hospital & Maternity Home,13618,,0.0,0.0,0.0,4.0,Low/Moderate
dkMPYVAjhuZ,Inyuu Health Centre,12091,,0.0,2.0,0.0,3.0,Low/Moderate
y8Mv4FOBkUn,IOM Wellness Clinic,19471,,0.0,2.0,0.0,15.0,Very High
Xm3UkkgGu65,Ipali Health Centre,15904,,0.0,1.0,0.0,7.0,High
cdSguOsrorH,Iraha Dispensary,13619,,0.0,0.0,0.0,1.0,Low/Moderate
Vsi9SfaITuG,Iran Medical Clinic,20227,Clinic,0.0,0.0,0.0,2.0,Low/Moderate
XGZfxVpbX5c,Iranda Health Centre,18939,,0.0,1.0,0.0,2.0,Low/Moderate
Ww8j3aByxSP,Iranda Sub-County Referral Hospital,13620,,0.0,1.0,0.0,1.0,Low/Moderate
ucW6XW63WRd,Iriani Dispensary,29127,,0.0,0.0,0.0,1.0,Low/Moderate
CVh69HG6IeO,Irondi Dispensary,13621,,0.0,0.0,0.0,1.0,Low/Moderate
uKxxqdzRPJ9,Irwaga Health Centre,14580,,0.0,0.0,0.0,2.0,Low/Moderate
omj3gtbrF22,Isamwera Dispensary,16425,,0.0,1.0,0.0,1.0,Low/Moderate
dwsqnJOgFCH,Isebania Prevention Centre,20019,Stand alone VCT,0.0,0.0,0.0,7.0,High
gFC5kCFDDqG,Isebania Sub County Hospital,13625,,0.0,4.0,0.0,23.0,Severe
kgwPDqMydjo,Ishiara Sub-County Hospital,16464,,0.0,0.0,0.0,4.0,Low/Moderate
wKoJ3NCXobv,Isibania Mission Health Centre,13624,,0.0,1.0,0.0,1.0,Low/Moderate
xbZUlr9VgCK,Isinet Health Centre,14581,,0.0,2.0,1.0,17.0,Very High
zDGztuhkhx7,Isinya Health Centre,14582,,0.0,6.0,1.0,25.0,Severe
B38UbNDmnjU,Island Dispensary,23972,,0.0,0.0,0.0,1.0,Low/Moderate
aqfZGfHVbn2,Isoge Health Centre,13626,,0.0,0.0,0.0,2.0,Low/Moderate
Wmm9bP13tUz,Isumba Dispensary,19991,Shibuli Bukura Road Branch left the bridge to Isumba,0.0,2.0,0.0,3.0,Low/Moderate
bT0xdjSkCSV,Itando Mission of Hope and Health Centre,18512,,0.0,0.0,0.0,3.0,Low/Moderate
iL2iba7ppjk,ITARC Kenya Limited(Naivasha),25215,Medical Clinic,0.0,0.0,0.0,3.0,Low/Moderate
rMFo6FPj2Cl,Itare Dispensary,14584,Dispensary,0.0,0.0,0.0,1.0,Low/Moderate
D5gyEB6g8G9,Itembe Dispensary,14585,,0.0,0.0,0.0,6.0,High
OlQmO4Cr8Bz,Itembu Dispensary,16879,,0.0,1.0,0.0,3.0,Low/Moderate
Q5AJ6hof4bq,Iten County Referral Hospital,14586,,1.0,0.0,0.0,6.0,High
DnoqaWqpOTa,Itete Dispensary,25720,,0.0,0.0,0.0,3.0,Low/Moderate
w6so9GSaap0,Ithanga Health Centre,10357,,0.0,0.0,1.0,12.0,Very High
G5nMS2OZrdN,Ithimbari Dispensary,12097,,0.0,0.0,0.0,1.0,Low/Moderate
GWyiedUwAyx,Itiati Dispensary,10360,,0.0,0.0,0.0,2.0,Low/Moderate
TK5G8AnqHxV,Itibo Eramani Dispensary,13627,,0.0,1.0,0.0,1.0,Low/Moderate
BB8Fv5gv7SE,Itibo Mission Health Centre,13628,,0.0,0.0,0.0,4.0,Low/Moderate
zrKMjzUOZov,Itumbule Health centre,17241,,0.0,0.0,0.0,1.0,Low/Moderate
yUt0nmg89LB,Itunduimuni Health Centre,12101,,0.0,1.0,0.0,2.0,Low/Moderate
jQB1cLLFmMu,Iuuma Dispensary,12103,,0.0,0.0,0.0,2.0,Low/Moderate
iw6A6nx6ugM,Ivochio Dispensary,21089,,0.0,0.0,0.0,2.0,Low/Moderate
oCSNlBnL6p2,Iyabe Sub County Hospital,13631,,0.0,5.0,0.0,13.0,Very High
vcS6HzKzyBG,Jacaranda Maternity (Kiamumbi),20403,,0.0,2.0,0.0,0.0,Low/Moderate
TZI20Kftl5m,Jacaranda Maternity Hospital,29112,,0.0,2.0,0.0,0.0,Low/Moderate
ytfKWdbuXdl,Jagoror Dispensary,14588,,0.0,0.0,0.0,2.0,Low/Moderate
mifYMNSf2hN,Jalaram Medical Services,21223,,0.0,0.0,0.0,1.0,Low/Moderate
FvG8gxqqOvf,Jamaa Mission Hospital,12984,,0.0,0.0,0.0,2.0,Low/Moderate
HwRb5Ackqm4,Jambo Healthcare Limited,11425,,0.0,0.0,0.0,2.0,Low/Moderate
IPuJB69xbia,Jamia Medical Centre,15906,,0.0,1.0,0.0,2.0,Low/Moderate
drgqgyi497v,Jamii Clinical Services Clinic,14115,In Siaya Town within ACK compound,0.0,0.0,0.0,1.0,Low/Moderate
voXeBFTmYqI,Jamii Health Care,25251,,0.0,0.0,0.0,1.0,Low/Moderate
dZqf3vmMjm0,Jamii Hospital,10368,,0.0,0.0,0.0,6.0,High
vYLDQuit7QN,Jamii Medical Clinic (Mukuru),19446,,0.0,0.0,0.0,4.0,Low/Moderate
et67lpNreq1,Jamii Medical Clinic (Mwala),12108,,0.0,0.0,0.0,1.0,Low/Moderate
ugxGN7NQ974,Jancam Medical Centre,21087,,0.0,0.0,0.0,1.0,Low/Moderate
a8sU1OkbQd2,Janeiro Nursing Home,21135,,1.0,1.0,0.0,8.0,High
paXJVpz9TOS,Jarajara Dispensary,13376,,0.0,0.0,0.0,24.0,Severe
UZlFjPJGpjz,Jaramogi Oginga Odinga Teaching & Referral Hospital,13939,,2.0,7.0,0.0,89.0,Critical
CyfO1ILvCuj,Javid Townview Medical Centre,27716,,0.0,0.0,0.0,1.0,Low/Moderate
vm1q2CVrsgu,Jawabu (Community) Medical Clinic,13633,,0.0,0.0,0.0,4.0,Low/Moderate
JM72QVwNQhk,Jera Dispensary,13634,,0.0,0.0,0.0,1.0,Low/Moderate
XN6yIZhe3bj,Jericho Health Centre,12988,,0.0,0.0,0.0,10.0,High
tH4jWfv5j99,Jerusalem Dispensary,12989,,0.0,0.0,0.0,1.0,Low/Moderate
naa6PTuNZM4,Jevros Clinic,13635,,0.0,0.0,0.0,1.0,Low/Moderate
f4qVre0RVQQ,Jila Model Health Centre,21544,,0.0,1.0,0.0,2.0,Low/Moderate
INawALMkXAS,JKUAT Hospital,10378,,0.0,0.0,0.0,1.0,Low/Moderate
SiFad15yKhZ,JM Kariuki Memorial County Referral Hospital,10916,,0.0,2.0,0.0,18.0,Very High
OjKfyArZa2J,Jocham Hospital,11434,,0.0,0.0,0.0,2.0,Low/Moderate
RBuEslQ9VB2,Jodams Medical maternity Clinic (Kenyenya),17677,,0.0,0.0,0.0,2.0,Low/Moderate
xqaBLbY0YeV,Joeton Medical Clinic,26258,,0.0,0.0,0.0,1.0,Low/Moderate
QMHy1WuUYtI,Joint Partner Medical Clinic,16455,,0.0,0.0,1.0,1.0,Low/Moderate
ttlDLtD7gUI,Jomvu Kuu (MCM) Dispensary,11437,,0.0,0.0,0.0,5.0,Low/Moderate
MP8fPGLlphd,Jomvu Model Health Centre,11436,,0.0,3.0,0.0,14.0,Very High
cKbvS2EeokA,Jomvu Wellness Centre,21076,New Facility,0.0,0.0,0.0,8.0,High
yZv0nIvtuNa,Jordan Medical Clinic,11439,,0.0,0.0,0.0,1.0,Low/Moderate
esttroX6iNS,Jotram Medical Centre,23561,,0.0,0.0,0.0,1.0,Low/Moderate
Ot9rbB7cawr,Joyellen women hospital,24112,near ongiga odinga road,0.0,0.0,0.0,1.0,Low/Moderate
s660dO8z7o6,Juja Farm Health Centre,10386,,0.0,4.0,1.0,7.0,High
YxbIk1AfJVa,Juja Modern Hospital & Maternity,22321,Private,0.0,0.0,0.0,3.0,Low/Moderate
n33t3QkAiUY,Jumuia Hospital (Huruma),12972,,0.0,0.0,0.0,3.0,Low/Moderate
y0kyyERURWh,Jumuia Mission Hospital Kaimosi,15913,,0.0,0.0,0.0,12.0,Very High
z3nsKrp3b87,Jumupamozzi Medical Centre,21678,PRIVATE,0.0,0.0,0.0,1.0,Low/Moderate
PYpFtijsCdO,Junction Medical Clinic,16450,,0.0,0.0,0.0,2.0,Low/Moderate
lR6W5tK8hAq,Junda Dispensary,20491,,0.0,1.0,0.0,13.0,Very High
ehWIvgTwDHI,Junju Dispensary,11444,,0.0,1.0,0.0,2.0,Low/Moderate
lFZ0yIDgUyJ,K-Met Corkran Medical Clinic,17554,,0.0,0.0,0.0,9.0,High
crSbiV0rS0m,Kaani Dispensary,12118,,0.0,2.0,0.0,1.0,Low/Moderate
GeQ8joSYNcm,Kaanwa Dispensary,12119,,0.0,0.0,0.0,2.0,Low/Moderate
DRYHZsgOAjz,Kaapoka Health Centre,14579,,0.0,0.0,0.0,8.0,High
vjX2moFDHOH,Kaare Dispensary,12120,,0.0,0.0,0.0,2.0,Low/Moderate
l6jqUUJvImb,Kabarak Health Centre,14606,,0.0,0.0,0.0,9.0,High
dla1WFT8f3a,Kabare Health Centre,10388,Kabare shopping centre-off Kutus/Kimunye road,1.0,2.0,0.0,3.0,Low/Moderate
ITJntrnFN4A,Kabati Dispensary (YMCA),28739,,0.0,2.0,0.0,6.0,High
ciJFdty24Uw,Kabatini Health Centre,14610,,0.0,2.0,0.0,3.0,Low/Moderate
kjaG0y8s2NK,Kabazi Sub County Hospital,14611,,1.0,1.0,0.0,5.0,Low/Moderate
KmYG2XJfp6W,Kabianga Health Centre,14613,,0.0,1.0,0.0,7.0,High
FHRzDPLEc8g,Kabiangek Dispensary,23026,,0.0,0.0,0.0,1.0,Low/Moderate
JTzEgarJilV,Kabichbich Health Centre,14615,,0.0,2.0,0.0,11.0,High
Zzn7r9ALZIk,Kabiemit Health Centre (Mosop),14618,,0.0,0.0,0.0,1.0,Low/Moderate
N20zYMSUtas,Kabirirsang Dispensary,14630,,0.0,0.0,0.0,6.0,High
nI0fEz1e6WH,Kabiro Medical Clinic,12995,,0.0,1.0,0.0,1.0,Low/Moderate
XzKZTSICokw,Kabiyet Sub County Hospital,14623,,0.0,0.0,0.0,3.0,Low/Moderate
jzQPk6CszMu,Kaboi Dispensary,17023,,0.0,0.0,0.0,2.0,Low/Moderate
I8V34hZckH7,Kabolecho Dispensary,14626,,0.0,1.0,0.0,3.0,Low/Moderate
IpxTP5z54Zq,Kaborom Dispensary,15910,,0.0,0.0,0.0,1.0,Low/Moderate
fMFsmycdb6z,Kaboson Health Centre,14628,,0.0,0.0,0.0,3.0,Low/Moderate
C4YEx5WBZn0,Kaboywo Dispensary,15909,,0.0,0.0,0.0,3.0,Low/Moderate
OOXFr1NfIlA,Kabuchai Health Centre,15911,,0.0,1.0,0.0,6.0,High
S1i3cmxCbgX,Kabula Health Centre,15912,,0.0,2.0,0.0,8.0,High
WEUJ07JBWMz,Kabungut dispensary,22022,,0.0,0.0,0.0,1.0,Low/Moderate
Jw3wFc9SfsA,Kabunyeria Health Centre,14632,Health Centre,0.0,0.0,0.0,1.0,Low/Moderate
FeUHA7ixSA6,Kabura Uhuyi Dispensary,17531,,0.0,0.0,0.0,2.0,Low/Moderate
WLvYlxbdgy7,Kabutii-Matiret Dispensary,14633,,0.0,3.0,0.0,18.0,Very High
iSWYUchYnlP,Kabwareng Dispensary,17626,,0.0,1.0,0.0,1.0,Low/Moderate
oGOpu3nlItw,Kacheliba Sub County Referral Hospital,14634,,0.0,1.0,0.0,21.0,Severe
Uv4ODfDwEB8,Kachoda Dispensary,14636,,0.0,1.0,0.0,0.0,Low/Moderate
fNm4rcRIKUF,Kachororoni Dispensary,21545,,0.0,0.0,0.0,3.0,Low/Moderate
wUI5w5hVFXn,Kachuth Health Center,18876,,0.0,0.0,0.0,1.0,Low/Moderate
Z7ruKy2DyTa,Kadem Tb & Leprosy Dispensary,13640,,0.0,0.0,0.0,17.0,Very High
iAuQRWVoRpK,Kadenge Ratuoro Health Centre,13641,,0.0,1.0,0.0,3.0,Low/Moderate
fN7KqlgwStu,Kaderbouy Medical Clinic (Old Town),11446,,0.0,0.0,0.0,3.0,Low/Moderate
i6oyLBSxWfZ,Kadhola Health Center,16769,,0.0,0.0,0.0,7.0,High
My0xFBJaM5c,Kadinda Health Centre,16283,,0.0,0.0,0.0,2.0,Low/Moderate
k1gDvwc81yh,Kadzinuni Dispensary,11447,,0.0,0.0,1.0,5.0,Low/Moderate
K4FWeDZV2o0,Kaelo Dispensary,17381,,0.0,1.0,0.0,3.0,Low/Moderate
Lbmua1AMw7d,Kafuduni Dispensary,11448,,0.0,1.0,0.0,4.0,Low/Moderate
mJHLF17zwJo,Kagaa Dispensary,23079,,0.0,0.0,0.0,1.0,Low/Moderate
BuKsUiPIIkt,Kagaa Health Centre,10394,,0.0,0.0,0.0,1.0,Low/Moderate
CUCTqzLEY0L,Kager Dispensary,13643,,0.0,0.0,0.0,1.0,Low/Moderate
HVp36PfKkdW,Kagere Dispensary,10396,,0.0,0.0,0.0,2.0,Low/Moderate
wUASuo4QLIg,Kagicha Dispensary,10397,,0.0,0.0,0.0,1.0,Low/Moderate
UUbhK0ZeTTz,Kagio Catholic Dispensary (Mary Immucate Catholic Dispensary),10398,Kagio town-off Kutus/Sagana road,0.0,0.0,0.0,1.0,Low/Moderate
Sb3Ui4btUGc,Kagio Hospital,10399,,0.0,0.0,0.0,2.0,Low/Moderate
P59xcax8Zlb,Kagonye Dispensary,10400,,0.0,0.0,0.0,1.0,Low/Moderate
L3Cj0eucYCp,Kagumo Health Centre,10402,Kagumo market off Kerugoya/Karatina road,0.0,0.0,0.0,2.0,Low/Moderate
bSN3R6IJpBF,Kagunduini Dispensary,16971,,0.0,1.0,0.0,4.0,Low/Moderate
T9MIrcv0VeS,Kagwa Health Centre,13644,,0.0,1.0,0.0,2.0,Low/Moderate
YtsM0MqcxLu,Kagwe Dispensary,10413,,0.0,2.0,0.0,8.0,High
FYFa6uKr7mQ,Kahawa Dispensary,13645,,0.0,0.0,0.0,1.0,Low/Moderate
dtRiIn99llQ,Kahawa West Health Centre,12997,,0.0,6.0,0.0,18.0,Very High
q6NwSRm7CoV,Kahembe Health Centre,10419,,0.0,0.0,0.0,1.0,Low/Moderate
xNQuM1wTWrJ,Kaiboi Mission Health Centre,14640,,0.0,1.0,0.0,4.0,Low/Moderate
LBDUxvoZSdI,Kaikor Sub County Hospital,14643,,1.0,0.0,0.0,3.0,Low/Moderate
lkXTcVtB8kE,Kainuk Health Centre,14645,,0.0,0.0,0.0,2.0,Low/Moderate
ElmUOzGmHlj,Kairo Dispensary,10432,,0.0,0.0,0.0,1.0,Low/Moderate
NsOtD5QOM4t,Kairuri Health Centre,12130,,0.0,0.0,0.0,2.0,Low/Moderate
sc8JYN2izf0,Kaisagat Health Centre,14646,,0.0,0.0,0.0,1.0,Low/Moderate
V6UNvIuFoWM,Kaitui Dispensary,14649,,0.0,1.0,0.0,3.0,Low/Moderate
d69tynUHL9A,Kaiyaba Dispensary,10435,,0.0,0.0,1.0,5.0,Low/Moderate
E5KIT8GkN4q,Kajiado (AIC) Dispensary,14650,,0.0,0.0,0.0,2.0,Low/Moderate
tGLKciw2MGf,Kajiado County Referral Hospital,14652,,0.0,3.0,0.0,34.0,Severe
zDIvojMpYu1,Kajieyi Health centre,13646,,0.0,0.0,0.0,2.0,Low/Moderate
R3tvYrwsSZA,Kajuki Health Centre,12132,,0.0,0.0,0.0,1.0,Low/Moderate
Hz3BwMUktOJ,Kakamega County General Hospital,15915,,1.0,6.0,0.0,37.0,Severe
kWzAmRGUHal,Kakamega Forest Dispensary,15914,,0.0,0.0,0.0,2.0,Low/Moderate
RUhEEE3keZi,Kakeani Health Centre,12134,,0.0,2.0,0.0,2.0,Low/Moderate
KBl5hvYp5uF,Kakimanyi Dispensary,21739,,0.0,0.0,0.0,1.0,Low/Moderate
i23GR6I37ID,Kakiptui Dispensary,14653,,0.0,0.0,0.0,2.0,Low/Moderate
Wj1gBKsF1lB,Kakuma Mission Hospital,14655,,0.0,1.0,0.0,12.0,Very High
Mvevx0bAZh0,Kakuma Sub County Hospital,21335,,0.0,0.0,0.0,4.0,Low/Moderate
sS95RyqYQ0d,Kakuyuni Dispensary (Malindi),11453,,0.0,1.0,0.0,7.0,High
zAPJPYf65xo,Kakuyuni Health Centre,16433,,0.0,1.0,0.0,4.0,Low/Moderate
Jzl5RlzbQAf,Kalacha Sub County Referral Hospital,12142,,0.0,0.0,0.0,2.0,Low/Moderate
sVmlP6GIQmS,Kalalu Dispensary,14659,,0.0,1.0,0.0,1.0,Low/Moderate
e0eHfNQ5SwY,Kalama Level 4,12144,,0.0,0.0,0.0,1.0,Low/Moderate
SkQZUBdlpnz,Kalamba (AIC) Dispensary,17431,,0.0,1.0,0.0,3.0,Low/Moderate
tYreNwfQXSU,Kalandini Health Centre,12146,,0.0,2.0,0.0,2.0,Low/Moderate
yFeGs5Liwzi,Kalawa Sub County Hospital,12147,,0.0,0.0,0.0,9.0,High
xnQusGYwi6h,Kalemungorok Dispensary,14660,,0.0,0.0,0.0,1.0,Low/Moderate
Hye6HfITIcg,Kali Health Centre,12149,,0.0,0.0,0.0,1.0,Low/Moderate
dxeSMnthYrh,Kaliani Health Centre,12150,,0.0,0.0,0.0,2.0,Low/Moderate
IGIxEQcVAMS,Kalimapus Dispensary,17231,,0.0,0.0,0.0,2.0,Low/Moderate
JeuBdNUUREJ,Kalimoni Mission Hospital (Juja),10438,,0.0,2.0,0.0,4.0,Low/Moderate
mhju90CRZcr,Kalisasi Health Centre,12154,,0.0,0.0,0.0,1.0,Low/Moderate
N636nMR9Hsh,Kalokol (AIC) Health Centre,14663,,0.0,0.0,0.0,10.0,High
ZEPXu4MCbVp,Kalokol health centre,20773,,0.0,0.0,0.0,6.0,High
h30PQ7TRRWD,Kaloleni Dispensary,12998,Operational,0.0,1.0,0.0,17.0,Very High
NLyozIGXjXB,Kaloleni GK Prison Dispensary,24209,It a GK prison dispensary found in Kitsurini prison which is located along Mariakani/Kaloleni road,0.0,0.0,0.0,1.0,Low/Moderate
IVUGLaHGkCK,Kalulini Health Centre,18516,,0.0,0.0,0.0,1.0,Low/Moderate
xhfTwAI9TDu,Kalulini Health Centre (Kibwezi),12156,,0.0,0.0,0.0,4.0,Low/Moderate
VNxw3GkWlCv,Kaluluini Dispensary,22945,,0.0,1.0,0.0,1.0,Low/Moderate
SaC88wqvxMt,Kaluo Health Centre,13648,,0.0,3.0,0.0,5.0,Low/Moderate
BV6ZAcRIkRb,Kalyongwet Dispensary,17308,,0.0,0.0,0.0,2.0,Low/Moderate
yhwOZ6Vnfmw,Kama Medical Clinic,17660,,0.0,0.0,0.0,1.0,Low/Moderate
VHMBfnYDNGc,Kamaget Dispensary,14666,,0.0,0.0,0.0,1.0,Low/Moderate
ZxV8XqgDgSE,Kamahuha Dispensary,10441,,0.0,0.0,1.0,6.0,High
ebuf0Ix1pYu,Kamara Dispensary,14668,,0.0,1.0,0.0,6.0,High
BEjIOW8DUVY,Kamashia Health Centre,18802,,0.0,1.0,0.0,2.0,Low/Moderate
cgGKqOQ5YLB,Kambajo Dispensary,13651,level 2 facility in maranda division,0.0,2.0,0.0,7.0,High
s11x854JKz0,Kambandi Dispensary,12162,,0.0,0.0,0.0,1.0,Low/Moderate
BEJQPDKe2Mo,Kambare Dispensary,17527,,0.0,0.0,0.0,3.0,Low/Moderate
vCIs8c3Q975,Kambe Dispensary,16192,,0.0,2.0,0.0,4.0,Low/Moderate
Qv92hTqycLz,Kambi Ya Waya Dispensary,20771,OPERATIONAL,0.0,1.0,0.0,2.0,Low/Moderate
iVcHfvdHPN8,kambini dispensary,24066,,0.0,0.0,0.0,1.0,Low/Moderate
Z3nXezhi41F,kambini Dispensary,20392,near kambini market,0.0,0.0,0.0,3.0,Low/Moderate
