organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Infected_24mths HV02-47,MOH 731 Uninfected_24mths HV02-48,MOH 731 Unknown_Outcome HV02-49,MOH 731 Net cohort_HEI_24 months HV02-50,transmission_rate
hLMDMOsAv6Y,Bande Dispensary,13494.0,,,5.0,,5.0,
oYc9S0YvbLH,Banja Health Centre,15805.0,,,1.0,,1.0,
RrxywQuOoio,Baolala Dispensary,11244.0,,,1.0,1.0,2.0,
DqwooToZ1N9,Bar Achuth Dispensary,13495.0,,,8.0,,8.0,
gFFdF6hGiFe,Bar Agulu Dispensary,13496.0,,,11.0,,11.0,
yonouRgu7l7,Bar Aluru Dispensary (Rarieda),13497.0,,,8.0,,8.0,
lq9mb305HDu,Bar Korwa Health Centre,13498.0,,,7.0,,7.0,
bhfD7RGs2gk,Bar Ndege Dispensary,16784.0,,,9.0,,9.0,
sK3DDy5tVCy,Bar Olengo Dispensary,13499.0,,,9.0,,9.0,
ZL7FkyG3uwc,Bar Sauri Health Centre,16785.0,,,2.0,,2.0,
tBD7EcDrqR8,Baraka Dispensary (Nairobi),12881.0,,,13.0,4.0,17.0,
jetCZf5Uzd1,Barding Dispensary,18396.0,,,1.0,,1.0,
yQujnfNnzQJ,Baricho Subcounty Hospital,10049.0,,,1.0,,1.0,
NcCkDlIqJuM,Baringo County Referral Hospital,14607.0,,1.0,9.0,1.0,11.0,9.090909090909092
vG1iOKniT2c,Beacon of Hope Clinic (Ongata Rongai),16667.0,,,4.0,,4.0,
YjzBFHmaVTv,Benga Dispensary,16786.0,,,2.0,,2.0,
m1CfptepCVX,Bennedict XVI Hospital,10056.0,,,1.0,,1.0,
oyMHYuegTO3,Beta Care Nursing Home,10058.0,,,4.0,,4.0,
PaKMtCzMDnk,Biafra Lions Dispensary,12883.0,,,3.0,,3.0,
dzY2ptkmDAC,Bishop Kioko Catholic Hospital,11955.0,,,4.0,,4.0,
aZCS6UZRpdL,Bitare Dispensary,13502.0,,,2.0,,2.0,
Jzb6ev63ccp,Blue House (AHF) Dispensary,12885.0,,,5.0,7.0,12.0,
gYaEWAxDwbL,Bodi Health Centre,13503.0,,,11.0,,11.0,
a6KR1c7QXeL,Bokole CDF Dispensary,11254.0,,,2.0,3.0,5.0,
L7s7lF6nv95,Bokoli  Sub-County Hospital,15808.0,,,1.0,4.0,5.0,
J92hsLeBV21,Bomet Health Centre,14261.0,,,1.0,,1.0,
OtnHULC4QwB,Bomu Medical Centre (Likoni),11259.0,,,20.0,1.0,21.0,
w5udNAfZvrb,Bomu Medical Centre (Mariakani),18267.0,,,8.0,1.0,9.0,
BsbMOs77eO2,Bomu Medical Hospital (Changamwe),11258.0,,,36.0,4.0,38.0,
vPGUu3uwSan,Bondeni Dispensary (Nakuru Central),14263.0,,,3.0,,3.0,
kF4aaglTa6T,Bondeni Health Centre (Trans Nzoia - Saboti),14264.0,,,1.0,2.0,3.0,
BxIp7V5DU9D,Bondeni Sub County Hospital,14265.0,,2.0,11.0,3.0,16.0,12.5
Z6fKUbscAbZ,Bondo County Referral Hospital,13507.0,level 4 facility in Maranda division. Is the Sub County reffaral Hospital,16.0,30.0,3.0,49.0,32.6530612244898
xHviPII2Tc3,Boro Dispensary,13513.0,,,6.0,,6.0,
mZ5dBUXvXqh,Bosiango Health Centre,13514.0,,,1.0,,1.0,
X43Tf1LIRXh,Brother Andre Medial Centre,12887.0,,,3.0,1.0,4.0,
WYaAkILOP16,Buchangu Dispensary,15810.0,Dispensary,,1.0,,1.0,
Y1wbtycY0V8,Budalangi Dispensary,15811.0,,,4.0,,4.0,
gkvsBoZvbH1,Bugina Health Centre,15815.0,,2.0,,,2.0,100.0
OQUMus9IsA1,Bugumbe Health Centre,13517.0,,1.0,4.0,,5.0,20.0
ndBnE6yUjoy,Bukaya Health Centre,15817.0,,,5.0,1.0,6.0,
lSB8vsporuH,Bukembe Dispensary,15819.0,,,5.0,,5.0,
wcM6pww7h2a,Bukura Health Centre,15820.0,,,6.0,1.0,7.0,
